,KNN,MLP,REAL,Type,error_KNN,error_MLP,시간(총),시작온도,장입소재개수,장입중량총합,장입최대중량
0,1154.1822955906453,1461.9803466796875,1318.4000000003725,Holding Phase,164.21770440972728,143.580322265625,41580.0,1262.5,7,38130.0,6130
1,650.2165540331682,612.6237182617188,1169.2000000001865,Holding Phase,518.9834459670183,556.5762329101562,18360.0,1282.0,5,27050.0,5570
2,894.3899812157675,1559.0595703125,1841.0,Holding Phase,946.6100187842325,281.9404296875,45540.0,1258.9,4,32960.0,8240
3,332.9746801630999,298.6773376464844,308.90000000037253,Holding Phase,24.07468016272736,10.22265625,11400.0,1281.7,5,43130.0,12410
4,543.9007957628529,561.9407958984375,166.80000000074506,Holding Phase,377.10079576210785,395.14080810546875,5340.0,1263.4,3,23630.0,13930
5,1075.8290551986136,2309.1474609375,2020.7000000001865,Holding Phase,944.8709448015729,288.447509765625,63900.0,1253.6,6,39795.0,8611
6,676.7642467236905,1965.4791259765625,1865.8999999994405,Holding Phase,1189.1357532757502,99.5791015625,55320.0,1262.2,7,91660.0,15760
7,213.16350309889623,127.17930603027344,94.7000000001863,Holding Phase,118.46350309870994,32.47930908203125,3720.0,1282.1,7,56330.0,8240
8,242.4540117577192,191.2467498779297,123.5,Holding Phase,118.9540117577192,67.74674987792969,5220.0,1280.4,6,58630.0,12410
9,193.17877696673568,89.17015075683594,161.89999999944118,Holding Phase,31.278776967294505,72.72984313964844,4860.0,1267.8,9,66260.0,8600
10,507.7195337220578,701.6781616210938,818.5,Holding Phase,310.7804662779422,116.82183837890625,22200.0,1281.5,10,76350.0,7950
11,497.7487011437444,437.7630310058594,216.6,Holding Period,281.14870114374446,221.16302490234375,9060.0,711.6,4,28320.0,8520
12,233.44124685796373,135.7103271484375,169.39999999944118,Holding Phase,64.04124685852256,33.689666748046875,5520.0,1262.6,6,46650.0,10000
13,1057.8244140400627,1126.3306884765625,1490.8999999994412,Holding Phase,433.0755859593785,364.5693359375,43500.0,1258.9,8,38130.0,6640
14,143.26343760483556,287.1878662109375,320.7000000001862,Holding Phase,177.43656239535065,33.51214599609375,11760.0,1286.1,9,55650.0,8960
15,217.87135345200596,621.2758178710938,552.7999999998137,Holding Phase,334.9286465478078,68.475830078125,21240.0,1265.6,8,59690.0,9760
16,834.2719432513107,845.8035278320312,963.5,Holding Phase,129.22805674868926,117.69647216796875,31620.0,1245.3,3,29060.0,10530
17,149.17319006505772,245.3672332763672,241.39999999944118,Holding Phase,92.22680993438345,3.9672393798828125,8340.0,1254.8,8,48400.0,6050
18,492.66930427855755,620.2144165039062,340.2999999998138,Holding Phase,152.36930427874375,279.9144287109375,16860.0,1259.3,7,41960.0,15100
19,196.8002093872506,103.54811096191406,143.20000000018626,Holding Phase,53.600209387064325,39.651885986328125,4500.0,1268.2,7,50610.0,7230
20,567.8355368514622,412.0308532714844,501.79999999981385,Holding Phase,66.03553685164832,89.76913452148438,11820.0,1254.3,3,24590.0,8590
21,229.43797748617772,194.4605712890625,207.39999999944118,Holding Phase,22.037977486736537,12.939422607421875,7620.0,1273.8,6,52120.0,10000
22,278.48981283770644,732.6668090820312,818.5,Holding Phase,540.0101871622935,85.83319091796875,22200.0,1281.5,10,76350.0,7950
23,332.56189300619064,328.9670715332031,209.6999999992549,Holding Phase,122.86189300693573,119.26707458496094,6960.0,1269.8,7,52210.0,15760
24,233.49536023651697,234.0037384033203,320.7000000001862,Holding Phase,87.20463976366923,86.69627380371094,11760.0,1286.1,9,55650.0,8960
25,1082.6473945648966,1334.4752197265625,1490.8999999994412,Holding Phase,408.25260543454465,156.4248046875,43500.0,1258.9,8,38130.0,6640
