,시간(총)_MLP_5_5_에너지,시간(총)_MLP_6_6_에너지,시간(총)_KNN_에너지
0,9.961832046508789,10.789606094360352,25.669264833546457
1,11.733112335205078,11.687841415405273,16.238542419092497
2,12.334451675415039,12.222250938415527,24.684765074629237
3,11.4055814743042,11.184608459472656,11.044335665398197
4,11.711470603942871,11.633907318115234,15.169250860067631
5,12.126513481140137,12.37734317779541,22.94147303373509
6,9.440322875976562,9.731060028076172,11.064971306416219
7,13.614604949951172,13.499504089355469,18.590006715786078
8,12.934469223022461,14.092955589294434,16.5462998490851
9,11.308425903320312,11.072720527648926,14.089053083316541
average,11.657078456878661,11.829179763793945,17.603796284107304
