,시간(총)_MLP_5_5_에너지,시간(총)_MLP_5_3_에너지,시간(총)_KNN_에너지
0,18.007944107055664,17.593265533447266,17.6585411068106
1,14.45211124420166,14.598649024963379,14.819552115640406
2,10.190958023071289,11.919883728027344,14.283559754899269
3,14.576116561889648,14.562013626098633,16.186346674502687
4,13.74497127532959,13.709454536437988,12.170276330175572
5,17.135520935058594,16.768510818481445,20.158964331954415
6,11.333017349243164,11.242032051086426,14.88961098094673
7,10.122519493103027,10.920157432556152,13.510293788913714
8,21.081417083740234,19.49796485900879,19.177121822395243
9,14.649158477783203,14.72326946258545,14.658893619611963
average,14.529373455047608,14.553520107269287,15.751316052585063
