,시간(총)_MLP_5_5_에너지,시간(총)_MLP_3_3_에너지,시간(총)_KNN_에너지
0,17.35179328918457,13.707633972167969,15.624886758120349
1,20.490520477294922,21.302248001098633,26.496039513064062
2,12.915828704833984,12.030411720275879,19.43041695217546
3,12.519280433654785,10.711870193481445,13.387938756391037
4,12.5682373046875,12.396059036254883,25.950392664130778
5,15.771058082580566,15.243090629577637,14.5060588054999
6,20.01297378540039,21.210729598999023,21.971367763553616
7,17.040220260620117,16.43471336364746,24.813333204175287
8,17.960203170776367,17.988317489624023,18.913910267229177
9,15.782797813415527,15.994884490966797,15.457436798581053
average,16.241291332244874,15.701995849609375,19.655178148292073
