,시간(총)_MLP_5_5_에너지,시간(총)_MLP_4_4_에너지,시간(총)_KNN_에너지
0,19.242351531982422,20.422805786132812,20.81009508881226
1,18.46892547607422,18.42932891845703,25.084403444312965
2,20.969051361083984,21.146059036254883,20.10574795030554
3,14.437195777893066,14.366270065307617,24.681345736776695
4,17.028154373168945,16.493282318115234,21.01749439236298
5,14.722599983215332,14.918278694152832,26.793108877769644
6,17.908910751342773,19.050142288208008,20.721501307181793
7,17.203670501708984,18.343769073486328,19.412598319930296
8,16.222789764404297,16.401750564575195,24.32192492336808
9,18.890256881713867,17.800086975097656,27.802451757132157
average,17.50939064025879,17.73717737197876,23.07506717979524
