,시간(총)_MLP_5_5_에너지,시간(총)_MLP_6_6_에너지,시간(총)_KNN_에너지
0,18.979665756225586,19.244409561157227,31.91898001252527
1,29.286230087280273,29.085071563720703,32.28578638652649
2,27.428613662719727,27.527299880981445,24.03129300966689
3,19.93807601928711,18.890872955322266,22.189013766348744
4,24.059513092041016,24.333457946777344,35.50710194906919
5,22.525684356689453,22.521759033203125,33.62223116026399
6,20.43083381652832,20.283472061157227,34.02370153887781
7,23.669309616088867,23.038673400878906,30.101541205539323
8,20.806922912597656,20.886280059814453,37.039854742661845
9,28.124845504760742,27.839693069458008,28.667132761709706
average,23.524969482421874,23.36509895324707,30.93866365331893
