,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
18,869.8,5880,5820,621.0,0,0,0,4,22520,6260,2,15570,8560,0,0,0,0,0,0,0,0,0,7,47690,9600,0,0,0,2,15570,8560,5,32120,9600,1680,0,강종누락,2,2019-09-27,주간,2019-09-26 18:33,목,안겹침,0,3,0,CS,평일,0
19,973.1,5760,5640,530.1,0,0,0,1,15200,15200,0,0,0,0,0,0,0,0,0,0,0,0,5,93600,19600,0,0,0,5,93600,19600,0,0,0,9420,0,강종누락,3,2019-10-02,야간,2019-10-02 5:04,수,안겹침,0,8,0,C,평일,0
20,1450.9,10080,9780,462.6,6,49060,12390,6,43620,7750,0,0,0,0,0,0,0,0,0,0,0,0,12,92680,12390,0,0,0,6,49060,12390,6,43620,7750,3720,0,누락없음,2,2019-10-04,주간,2019-10-03 19:01,목,안겹침,0,6,0,AC,평일,0
21,3999.6,82440,78480,434.7,1,15350,15350,4,24980,6500,0,0,0,0,0,0,0,0,0,0,0,0,5,40330,15350,0,0,0,4,34850,15350,1,5480,5480,113760,0,누락없음,3,2019-10-07,야간,2019-10-06 6:48,일,안겹침,0,9,0,AC,주말,0
22,3185.3,81660,67440,555.3,1,15350,15350,4,48960,12380,0,0,0,0,0,0,0,0,0,0,0,0,5,64310,15350,0,0,0,1,15350,15350,4,48960,12380,92400,0,누락없음,2,2019-10-07,주간,2019-10-05 21:03,토,안겹침,0,12,0,AC,주말,0
23,792.1,5340,5160,481.2,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,7,94360,13480,0,0,0,7260,0,누락없음,2,2019-10-09,주간,2019-10-08 15:53,화,겹침,0,8,7,A,평일,0
24,419.4,2340,2280,790.1,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,109960,15600,0,0,0,7,94360,13480,1,15600,15600,1920,0,강종누락,3,2019-10-09,야간,2019-10-09 2:55,수,안겹침,0,8,0,A,평일,0
25,351.4,2160,2100,538.2,8,121300,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,121300,16100,0,0,0,8,121300,16100,0,0,0,1380,0,누락없음,3,2019-10-10,야간,2019-10-10 2:58,목,안겹침,0,8,0,A,평일,0
26,420.6,3480,3240,749.5,0,0,0,5,28660,7620,0,0,0,0,0,0,0,0,0,0,0,0,5,28660,7620,0,0,0,4,21040,5260,1,7620,7620,840,0,누락없음,2,2019-10-15,주간,2019-10-14 19:09,월,안겹침,0,12,0,C,평일,0
27,745.4,4440,4380,452.1,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,0,0,7,103950,14850,0,0,0,4560,0,누락없음,3,2019-10-15,야간,2019-10-15 4:42,화,안겹침,0,8,0,A,평일,0
