,0,1,2
28,190329-15111-001,2020-07-03 22:30,"['태웅 단조', '태웅 단조']"
29,190506-17035-002,2020-07-03 23:50,"['태웅 단조', '태웅 단조']"
30,181028-17035-004,2020-07-03 23:50,"['태웅 단조', None]"
31,190516-12405-002,2020-07-04 16:30,"['태웅 단조', '태웅 단조']"
32,180903-12339-047,2020-07-04 16:30,"['태웅 단조', '태웅 단조']"
33,190618-11091-001,2020-07-04 16:30,"['태웅 단조', '태웅 단조']"
34,190612-19172-001,2020-07-04 18:50,"['태웅 단조', '태웅 단조']"
35,190214-14730-020,2020-07-04 19:10,"['태상 미음', None]"
36,181102-14730-008,2020-07-04 22:10,"['태상 미음', '태상 미음']"
37,181102-14730-009,2020-07-04 22:10,"['태상 미음', '태상 미음']"
38,181102-14730-010,2020-07-04 22:10,"['태상 미음', '태상 미음']"
39,190218-15088-001,2020-07-04 22:50,"['태웅 단조', '태상 미음']"
40,190218-15088-003,2020-07-04 22:50,"['태웅 단조', '태상 미음']"
41,190616-99010-001,2020-07-05 0:30,"['태웅 단조', None]"
42,181112-19581-008,2020-07-05 7:10,"['태웅 단조', '태웅 단조']"
43,190613-19154-1 외,2020-07-08 17:20,"['태웅 단조', '태상 미음']"
44,190213-14730-026,2020-07-08 20:00,"['태상 미음', '태상 미음']"
45,190213-14730-068,2020-07-08 20:00,"['태상 미음', '태상 미음']"
46,190213-14730-024,2020-07-08 20:00,"['태상 미음', None]"
47,190213-14730-066,2020-07-08 20:00,"['태상 미음', None]"
48,190624-15226-001,2020-07-08 22:30,"['태웅 단조', '태웅 단조']"
49,190614-12321-001,2020-07-09 1:40,"['태웅 단조', '태웅 단조']"
50,190513-15135-002,2020-07-09 2:40,"['태웅 단조', '태웅 단조']"
51,180530-12005-025,2020-07-10 4:50,"['태웅 단조', None]"
52,190305-15111-003,2020-07-10 6:10,"['태웅 단조', None]"
53,190305-15111-003,2020-07-10 7:30,"['태웅 단조', None]"
54,190226-15088-002,2020-07-10 7:50,"['태웅 단조', '태웅 단조']"
55,190305-15111-001,2020-07-10 8:10,"['태웅 단조', '태웅 단조']"
56,190305-15111-001,2020-07-10 9:30,"['태웅 단조', '태웅 단조']"
57,190523-19004-001,2020-07-10 18:10,"['태웅 단조', '태웅 단조 1EA']"
58,190523-19004-003,2020-07-10 18:10,"['태웅 단조', '태웅 단조 1EA']"
59,181001-14017-012,2020-07-10 22:30,"['태웅 단조', '태웅 단조']"
60,190625-15226-005,2020-07-11 0:30,"['태웅 단조', '태웅 단조']"
61,190604-15133-001,2020-07-11 4:10,"['태웅 단조', '태웅 단조']"
62,190523-19004-002,2020-07-11 4:10,"['태웅 단조', '태웅 단조']"
63,190523-19004-004,2020-07-11 4:10,"['태웅 단조', '태웅 단조']"
64,190531-19157-062,2020-07-11 8:50,"['태웅 단조', '태웅 단조']"
65,190531-19157-063,2020-07-11 8:50,"['태웅 단조', '태웅 단조']"
66,190531-19157-067,2020-07-11 8:50,"['태웅 단조', '태웅 단조']"
67,190531-19157-068,2020-07-11 8:50,"['태웅 단조', '태웅 단조']"
68,190213-14730-025,2020-07-11 13:10,"['태상 미음', None]"
69,190213-14730-067,2020-07-11 13:10,"['태상 미음', None]"
70,180601-14730-015,2020-07-11 15:10,"['태상 미음', '태상 미음']"
71,190213-14730-008,2020-07-11 15:10,"['태상 미음', '태상 미음']"
72,181001-14017-013,2020-07-12 4:30,"['태웅 단조', '태웅 단조']"
73,190507-19581-002,2020-07-15 6:30,"['태웅 단조', '태상 미음']"
74,190514-12100-004,2020-07-15 11:30,"['태웅 단조', '태웅 단조']"
75,190624-15226-002,2020-07-15 23:50,"['태웅 단조', '태웅 단조']"
76,190720-17720-006,2020-07-16 0:00,"['태웅 단조 2EA', '태상 미음']"
77,190529-19154-003,2020-07-16 11:10,"['태웅 단조', '태웅 단조']"
78,190529-19154-005,2020-07-16 12:10,"['태웅 단조', '태웅 단조 1EA']"
79,190529-19154-008,2020-07-16 12:10,"['태웅 단조', '태웅 단조 1EA']"
80,190529-19154-010,2020-07-16 12:10,"['태웅 단조', '태웅 단조 1EA']"
81,190604-15135-001,2020-07-16 17:10,"['태웅 단조', '태웅 단조']"
82,190604-15135-002,2020-07-16 17:10,"['태웅 단조', None]"
83,190330-15111-001,2020-07-17 5:10,"['태웅 단조', '태웅 단조']"
84,190109-15088-002,2020-07-17 5:50,"['태웅 단조', None]"
85,181010-12339-008,2020-07-17 17:30,"['태웅 단조', None]"
86,181010-12339-011,2020-07-17 17:30,"['태웅 단조', None]"
87,181001-14017-011,2020-07-17 20:50,"['태웅 단조', '태웅 단조']"
88,190226-15088-003,2020-07-17 20:50,"['태웅 단조', '태웅 단조']"
89,180903-12339-010,2020-07-17 21:30,"['태웅 단조', None]"
90,181010-12339-012,2020-07-18 0:30,"['태웅 단조', '태웅 단조']"
91,181010-12339-015,2020-07-18 0:30,"['태웅 단조', '태웅 단조']"
92,190531-12005-001,2020-07-18 13:50,"['태웅 단조', None]"
93,190624-19296-001,2020-07-18 14:30,"['태웅 단조', '태웅 단조']"
94,190624-19296-002,2020-07-18 14:30,"['태웅 단조', '태웅 단조']"
95,190320-17035-003,2020-07-18 14:50,"['태웅 단조', '태웅 단조']"
96,190529-94594-004,2020-07-18 16:10,"['태상 미음', '태상 미음']"
97,190610-94594-001,2020-07-18 16:10,"['태상 미음', '태상 미음']"
98,190610-94594-002,2020-07-18 16:10,"['태상 미음', '태상 미음']"
99,190430-94594-002,2020-07-18 16:10,"['태상 미음', '태상 미음']"
100,190529-94594-005,2020-07-18 16:10,"['태상 미음', '태상 미음']"
101,190529-94594-002,2020-07-18 16:10,"['태상 미음', '태상 미음']"
102,190212-14730-049,2020-07-18 16:30,"['태상 미음', None]"
103,190626-14730-001,2020-07-18 17:30,"['태상 미음', '태상 미음']"
104,190626-14730-002,2020-07-18 17:30,"['태상 미음', '태상 미음']"
105,190626-14730-003,2020-07-18 17:30,"['태상 미음', '태상 미음']"
106,190212-14730-072,2020-07-18 17:50,"['태상 미음', None]"
107,190626-14730-004,2020-07-18 18:50,"['태상 미음', '태상 미음']"
108,190626-14730-005,2020-07-18 18:50,"['태상 미음', '태상 미음']"
109,190626-14730-006,2020-07-18 18:50,"['태상 미음', '태상 미음']"
110,190610-94594-003,2020-07-18 20:10,"['태상 미음', None]"
111,190610-94594-004,2020-07-18 20:10,"['태상 미음', None]"
112,190614-15111F-010,2020-07-19 4:50,"['태웅 단조', '태웅 단조']"
113,190219-15111-003,2020-07-22 13:50,"['태웅 단조 2EA', '태웅 단조 2EA']"
114,190219-15111-004,2020-07-22 13:50,"['태웅 단조 2EA', '태웅 단조 2EA']"
115,190320-12005-001,2020-07-22 13:50,"['태웅 단조 2EA', '태웅 단조']"
116,190618-15133-001,2020-07-22 15:30,"['태웅 단조', None]"
117,190618-15133-002,2020-07-22 15:30,"['태웅 단조', None]"
118,190604-15133-001,2020-07-22 18:30,"['태웅 단조', '태웅 단조']"
119,190523-19004-002,2020-07-22 18:30,"['태웅 단조', None]"
120,190523-19004-004,2020-07-22 18:30,"['태웅 단조', None]"
121,190117-15111-006,2020-07-23 8:00,"['태웅 단조', None]"
122,190117-15111-004,2020-07-23 10:00,"['태웅 단조', '태웅 단조']"
123,190527-13650-001,2020-07-23 18:10,"['태웅 단조', None]"
124,190424-15111-004,2020-07-23 20:10,"['태웅 단조', '태웅 단조']"
125,190117-15111-006,2020-07-23 22:50,"['태웅 단조', None]"
126,190117-15111-004,2020-07-24 0:50,"['태웅 단조', '태웅 단조']"
127,180607-19217-115,2020-07-24 14:50,"['태웅 단조', '태웅 단조']"
128,180607-19217-116,2020-07-24 14:50,"['태웅 단조', '태웅 단조']"
129,180607-19217-114,2020-07-24 18:50,"['태웅 단조', '태웅 단조']"
130,190701-KO483-001,2020-07-24 18:50,"['태웅 단조', '태웅 단조']"
131,190208-15111-005,2020-07-24 19:10,"['태웅 단조', '태웅 단조']"
132,190208-15111-006,2020-07-24 19:10,"['태웅 단조', '태웅 단조']"
133,190117-15111-005,2020-07-25 0:10,"['태웅 단조', '태웅 단조']"
134,190625-15226-009,2020-07-25 4:50,"['태웅 단조', '태웅 단조']"
135,190625-15226-010,2020-07-25 4:50,"['태웅 단조', '태웅 단조']"
136,190212-14730-035,2020-07-25 11:30,"['태상 미음', '태상 미음']"
137,190212-14730-046,2020-07-25 11:30,"['태상 미음', '태상 미음']"
138,190212-14730-070,2020-07-25 11:30,"['태상 미음', '태상 미음']"
139,190212-14730-016,2020-07-25 11:30,"['태상 미음', None]"
140,190212-14730-032,2020-07-25 11:30,"['태상 미음', None]"
141,190212-14730-043,2020-07-25 11:30,"['태상 미음', None]"
142,190625-15226-006,2020-07-25 12:30,"['태웅 단조', '태웅 단조']"
143,190704-19088-001,2020-07-25 12:30,"['태웅 단조', '태웅 단조']"
144,190219-19800-018,2020-07-25 14:50,"['태웅 단조', '태웅 단조']"
145,190219-19800-017,2020-07-25 14:50,"['태웅 단조', '태웅 단조']"
146,190219-19800-002,2020-07-25 14:50,"['태웅 단조', None]"
147,190219-19800-005,2020-07-25 14:50,"['태웅 단조', None]"
148,181102-14730-002,2020-07-25 16:10,"['태상 미음', '태상 미음']"
149,181102-14730-003,2020-07-25 16:10,"['태상 미음', '태상 미음']"
150,181102-14730-004,2020-07-25 16:10,"['태상 미음', '태상 미음']"
151,181102-14730-005,2020-07-25 16:10,"['태상 미음', '태상 미음']"
152,190625-15226-009,2020-07-25 22:50,"['태웅 단조', '태웅 단조']"
153,190625-15226-010,2020-07-25 22:50,"['태웅 단조', '태웅 단조']"
154,180903-12339-001,2020-08-12 6:50,"['태웅 단조', None]"
155,180903-12339-051,2020-08-12 6:50,"['태웅 단조', None]"
156,180903-12339-001,2020-08-12 6:50,"['태웅 단조', None]"
157,180903-12339-051,2020-08-12 6:50,"['태웅 단조', None]"
158,190626-19503-004,2020-08-12 17:50,"['태웅 단조', '태웅 단조']"
159,190626-19503-004,2020-08-12 17:50,"['태웅 단조', '태웅 단조']"
160,190603-17035-001,2020-08-12 19:10,"['태웅 단조', None]"
161,190603-17035-001,2020-08-12 19:10,"['태웅 단조', None]"
162,190101-99010-001,2020-08-12 21:10,"['태웅 단조', '태웅 단조']"
163,190101-99010-001,2020-08-12 21:10,"['태웅 단조', '태웅 단조']"
164,190617-17035-001,2020-08-12 21:30,"['태웅 단조', None]"
165,190617-17035-001,2020-08-12 21:30,"['태웅 단조', None]"
166,190101-99010-001,2020-08-12 22:30,"['태웅 단조', '태웅 단조']"
167,190101-99010-001,2020-08-12 22:30,"['태웅 단조', '태웅 단조']"
168,180607-19217-120,2020-08-13 15:50,"['태웅 단조', '태웅 단조']"
169,180607-19217-121,2020-08-13 15:50,"['태웅 단조', '태웅 단조']"
170,180607-19217-120,2020-08-13 15:50,"['태웅 단조', '태웅 단조']"
171,180607-19217-121,2020-08-13 15:50,"['태웅 단조', '태웅 단조']"
172,190219-15088-002,2020-08-13 17:30,"['태웅 단조', '태웅 단조']"
173,190719-15198-001,2020-08-13 17:30,"['태웅 단조', '태웅 단조']"
174,190219-15088-002,2020-08-13 17:30,"['태웅 단조', '태웅 단조']"
175,190719-15198-001,2020-08-13 17:30,"['태웅 단조', '태웅 단조']"
176,180424-15111-010,2020-08-13 19:30,"['태웅 단조', '태웅 단조']"
177,180424-15111-010,2020-08-13 19:30,"['태웅 단조', '태웅 단조']"
178,190110-15088-003,2020-08-13 23:30,"['태웅 단조', '태상 미음']"
179,190110-15088-003,2020-08-13 23:30,"['태웅 단조', '태상 미음']"
180,190725-70021-006,2020-08-14 3:10,"['태상 미음', '태상 미음']"
181,190725-70021-007,2020-08-14 3:10,"['태상 미음', '태상 미음']"
182,190725-70021-006,2020-08-14 3:10,"['태상 미음', None]"
183,190725-70021-006,2020-08-14 3:10,"['태상 미음', '태상 미음']"
184,190725-70021-007,2020-08-14 3:10,"['태상 미음', '태상 미음']"
185,190725-70021-006,2020-08-14 3:10,"['태상 미음', None]"
186,190701-19981-001,2020-08-14 4:30,"['태웅 단조', '태웅 단조']"
187,190701-19981-001,2020-08-14 4:30,"['태웅 단조', '태웅 단조']"
188,190626-19503-001,2020-08-14 18:50,"['태웅 단조', None]"
189,190626-14730-007,2020-08-14 20:10,"['태상 미음', '태상 미음']"
190,190626-14730-008,2020-08-14 20:10,"['태상 미음', '태상 미음']"
191,190626-14730-009,2020-08-14 20:10,"['태상 미음', '태상 미음']"
192,190626-14730-010,2020-08-14 20:10,"['태상 미음', '태상 미음']"
193,190305-15111-005,2020-08-15 2:30,"['태웅 단조', '태웅 단조']"
194,181010-12339-010,2020-08-15 3:30,"['태웅 단조', None]"
195,190305-15111-006,2020-08-15 4:50,"['태웅 단조', '태웅 단조']"
196,190626-14730-007,2020-08-15 8:30,"['태상 미음', '태상 미음']"
197,190626-14730-008,2020-08-15 8:30,"['태상 미음', '태상 미음']"
198,190626-14730-009,2020-08-15 8:30,"['태상 미음', '태상 미음']"
199,190626-14730-010,2020-08-15 8:30,"['태상 미음', '태상 미음']"
200,190626-19503-003,2020-08-15 12:50,"['태웅 단조', None]"
201,190626-19503-003,2020-08-15 12:50,"['태웅 단조', None]"
202,190626-19503-002,2020-08-15 13:10,"['태웅 단조', None]"
203,190626-19503-006,2020-08-15 13:10,"['태웅 단조', None]"
204,190626-19503-002,2020-08-15 13:10,"['태웅 단조', None]"
205,190626-19503-006,2020-08-15 13:10,"['태웅 단조', None]"
206,190715-19705-001,2020-08-15 15:30,"['태웅 단조', '태웅 단조']"
207,190715-19705-003,2020-08-15 15:30,"['태웅 단조', '태웅 단조']"
208,190715-19705-001,2020-08-15 15:30,"['태웅 단조', '태웅 단조']"
209,190715-19705-003,2020-08-15 15:30,"['태웅 단조', '태웅 단조']"
210,190424-15111-006,2020-08-15 18:10,"['태웅 단조', '태웅 단조']"
211,181102-14730-006,2020-08-15 21:30,"['태상 미음', '태상 미음']"
212,181102-14730-007,2020-08-15 21:30,"['태상 미음', '태상 미음']"
213,181102-14730-008,2020-08-15 21:30,"['태상 미음', '태상 미음']"
214,181102-14730-009,2020-08-15 21:30,"['태상 미음', '태상 미음']"
215,190424-15111-006,2020-08-15 22:30,"['태웅 단조', '태웅 단조']"
216,190305-15111-004,2020-08-16 0:50,"['태웅 단조', '태웅 단조']"
217,190305-15111-004,2020-08-16 0:50,"['태웅 단조', '태웅 단조']"
218,190305-15111-004,2020-08-16 2:10,"['태웅 단조', '태웅 단조']"
219,190305-15111-004,2020-08-16 2:10,"['태웅 단조', '태웅 단조']"
220,190626-19503-007,2020-08-19 9:30,"['태웅 단조', '태웅 단조']"
221,180903-12339-007,2020-08-19 9:30,"['태웅 단조', '태웅 단조']"
222,190626-19503-001,2020-08-19 9:30,"['태웅 단조', '태웅 단조']"
223,190626-19503-009,2020-08-19 9:30,"['태웅 단조', None]"
224,190501-19743-001,2020-08-19 9:30,"['태웅 단조', None]"
225,190807-11091-001,2020-08-19 9:30,"['태웅 단조', None]"
226,190626-19503-009,2020-08-19 9:30,"['태웅 단조', None]"
227,190501-19743-001,2020-08-19 9:30,"['태웅 단조', None]"
228,190807-11091-001,2020-08-19 9:30,"['태웅 단조', None]"
229,190626-19503-007,2020-08-19 10:30,"['태웅 단조', '태웅 단조']"
230,180903-12339-007,2020-08-19 10:30,"['태웅 단조', '태웅 단조']"
231,190626-19503-001,2020-08-19 10:30,"['태웅 단조', '태웅 단조']"
232,190807-11091-002,2020-08-19 11:50,"['태웅 단조', '태웅 단조']"
233,190628-15200-002,2020-08-19 11:50,"['태웅 단조', '태웅 단조']"
234,190627-15007-016,2020-08-19 11:50,"['태웅 단조', '태웅 단조']"
235,190807-11091-002,2020-08-19 11:50,"['태웅 단조', '태웅 단조']"
236,190628-15200-002,2020-08-19 11:50,"['태웅 단조', '태웅 단조']"
237,190627-15007-016,2020-08-19 11:50,"['태웅 단조', '태웅 단조']"
238,190330-15111-002,2020-08-19 18:50,"['태웅 단조', '태웅 단조']"
239,190330-15111-002,2020-08-19 19:50,"['태웅 단조', '태웅 단조']"
240,190716-19195-002,2020-08-19 20:10,"['태상 미음', '태상 미음']"
241,190716-19195-002,2020-08-19 20:10,"['태상 미음', '태상 미음']"
242,190722-19895-001,2020-08-19 23:50,"['태웅 단조', '태웅 단조']"
243,190722-19895-001,2020-08-20 0:50,"['태웅 단조', '태웅 단조']"
244,190715-19229-001,2020-08-20 6:10,"['태상 미음', '태웅 단조']"
245,190715-19229-001,2020-08-20 7:10,"['태상 미음', '태웅 단조']"
246,190626-19503-008,2020-08-20 14:50,"['태웅 단조', None]"
247,190626-19503-008,2020-08-20 14:50,"['태웅 단조', None]"
248,190424-15111-013,2020-08-20 19:30,"['태웅 단조', '태웅 단조']"
249,190424-15111-013,2020-08-20 19:30,"['태웅 단조', '태웅 단조']"
250,190712-19004-001,2020-08-20 23:30,"['태웅 단조', '태웅 단조']"
251,190712-19004-002,2020-08-20 23:30,"['태웅 단조', None]"
252,190712-19004-001,2020-08-20 23:30,"['태웅 단조', '태웅 단조']"
253,190712-19004-002,2020-08-20 23:30,"['태웅 단조', None]"
254,190626-19503-005,2020-08-20 23:50,"['태웅 단조', '태웅 단조']"
255,190626-19503-005,2020-08-21 0:50,"['태웅 단조', '태웅 단조']"
256,180607-19217-130,2020-08-21 12:30,"['태웅 단조', None]"
257,180607-19217-130,2020-08-21 12:30,"['태웅 단조', None]"
258,180607-19217-126,2020-08-21 13:30,"['태웅 단조', None]"
259,180607-19217-126,2020-08-21 13:30,"['태웅 단조', None]"
260,190516-14173-022,2020-08-21 16:10,"['태상 미음', None]"
261,190516-14173-022,2020-08-21 16:10,"['태상 미음', None]"
262,180607-19217-129,2020-08-21 16:30,"['태웅 단조', '태웅 단조']"
263,180607-19217-129,2020-08-21 17:30,"['태웅 단조', '태웅 단조']"
264,190516-14173-023,2020-08-21 19:10,"['태상 미음', '태상 미음']"
265,190516-14173-015,2020-08-21 19:10,"['태상 미음', '태상 미음']"
266,190516-14173-016,2020-08-21 19:10,"['태상 미음', '태상 미음']"
267,190516-14173-023,2020-08-21 20:10,"['태상 미음', '태상 미음']"
268,190516-14173-015,2020-08-21 20:10,"['태상 미음', '태상 미음']"
269,190516-14173-016,2020-08-21 20:10,"['태상 미음', '태상 미음']"
270,190725-70021-001,2020-08-22 3:30,"['태상 미음', None]"
271,190725-70021-002,2020-08-22 3:30,"['태상 미음', None]"
272,190725-70021-001,2020-08-22 4:30,"['태상 미음', None]"
273,190725-70021-002,2020-08-22 4:30,"['태상 미음', None]"
274,180903-12339-031,2020-08-22 13:30,"['태웅 단조', None]"
275,180903-12339-031,2020-08-22 16:30,"['태웅 단조', None]"
276,190424-15111-015,2020-08-22 16:50,"['태웅 단조', '태웅 단조']"
277,190424-15111-015,2020-08-22 16:50,"['태웅 단조', '태웅 단조']"
278,190516-14173-012,2020-08-22 17:30,"['태상 미음', '태상 미음']"
279,190516-14173-013,2020-08-22 17:30,"['태상 미음', '태상 미음']"
280,190516-14173-021,2020-08-22 17:30,"['태상 미음', '태상 미음']"
281,190516-14173-010,2020-08-22 17:30,"['태상 미음', None]"
282,190516-14173-011,2020-08-22 17:30,"['태상 미음', None]"
283,190516-14173-012,2020-08-22 17:30,"['태상 미음', '태상 미음']"
284,190516-14173-013,2020-08-22 17:30,"['태상 미음', '태상 미음']"
285,190516-14173-021,2020-08-22 17:30,"['태상 미음', '태상 미음']"
286,190516-14173-010,2020-08-22 17:30,"['태상 미음', None]"
287,190516-14173-011,2020-08-22 17:30,"['태상 미음', None]"
288,190805-15135-001,2020-08-22 22:10,"['태상 미음', '태상 미음']"
289,190805-15135-001,2020-08-22 22:10,"['태상 미음', '태상 미음']"
290,190305-15111-006,2020-08-22 23:30,"['태웅 단조', '태웅 단조']"
291,190305-15111-006,2020-08-22 23:30,"['태웅 단조', '태웅 단조']"
292,190305-15111-005,2020-08-22 23:50,"['태웅 단조', '태웅 단조']"
293,190305-15111-005,2020-08-22 23:50,"['태웅 단조', '태웅 단조']"
294,181010-12339-010,2020-08-22 23:50,"['태웅 단조', None]"
295,181010-12339-010,2020-08-23 0:50,"['태웅 단조', None]"
296,180607-19217-128,2020-08-26 14:40,"['태웅 단조', '태웅 단조']"
297,190213-14730-006,2020-08-27 0:20,"['태상 미음', '태상 미음']"
298,190213-14730-021,2020-08-27 0:20,"['태상 미음', '태상 미음']"
299,190516-14173-001,2020-08-27 0:20,"['태상 미음', '태상 미음']"
300,190516-14173-002,2020-08-27 0:20,"['태상 미음', '태상 미음']"
301,190516-14173-004,2020-08-27 1:20,"['태상 미음', None]"
302,190626-19503-011,2020-08-27 3:00,"['태웅 단조', '태웅 단조']"
303,190626-19503-014,2020-08-27 3:00,"['태웅 단조', None]"
304,190424-15111-011,2020-08-27 15:40,"['태웅 단조', '태웅 단조']"
305,190803-19004-005,2020-08-27 20:10,"['태웅 단조', '태상 미음']"
306,190711-19004-002,2020-08-27 20:10,"['태웅 단조', '태상 미음']"
307,190711-19004-004,2020-08-27 20:10,"['태웅 단조', '태상 미음']"
308,190711-19004-006,2020-08-27 20:10,"['태웅 단조', '태상 미음']"
309,190711-19004-008,2020-08-27 20:10,"['태웅 단조', '태상 미음']"
310,180530-12005-031,2020-08-27 23:10,"['태웅 단조', None]"
311,190226-15088-005,2020-08-28 2:10,"['태웅 단조', '태웅 단조']"
312,190803-19004-001,2020-08-28 3:10,"['태웅 단조', '태웅 단조']"
313,190803-19004-002,2020-08-28 3:10,"['태웅 단조', '태웅 단조']"
314,190803-19004-003,2020-08-28 3:10,"['태웅 단조', '태웅 단조']"
315,190803-19004-004,2020-08-28 3:10,"['태웅 단조', '태웅 단조']"
316,190804-19004-001,2020-08-28 3:10,"['태웅 단조', '태웅 단조']"
317,190804-19004-002,2020-08-28 3:10,"['태웅 단조', '태웅 단조']"
318,190804-19004-003,2020-08-28 3:10,"['태웅 단조', '태웅 단조']"
319,190804-19004-004,2020-08-28 3:10,"['태웅 단조', '태웅 단조']"
320,190424-15111-009,2020-08-28 8:30,"['태웅 단조', '태웅 단조']"
321,190803-19334-001,2020-08-28 13:30,"['태웅 단조', None]"
322,190625-12321-001,2020-08-28 23:10,"['태웅 단조', None]"
323,190603-17035-002,2020-08-29 3:50,"['태웅 단조', None]"
324,190617-17035-002,2020-08-29 4:50,"['태웅 단조', '태웅 단조']"
325,180607-19217-124,2020-08-29 10:30,"['태웅 단조', '태웅 단조']"
326,190716-19195-001,2020-08-29 14:30,"['태웅 단조', None]"
327,190516-14173-018,2020-08-29 19:10,"['태상 미음', '태상 미음']"
328,190516-14173-024,2020-08-29 19:10,"['태상 미음', '태상 미음']"
329,190724-14730-104,2020-08-29 19:10,"['태상 미음', '태상 미음']"
330,190724-14730-105,2020-08-29 19:10,"['태상 미음', '태상 미음']"
331,190813-77781-001,2020-09-04 12:30,"['태웅 단조', '태상 미음']"
332,190813-77781-002,2020-09-04 12:30,"['태웅 단조', '태상 미음']"
333,190716-19195-003,2020-09-04 16:10,"['태상 미음', '태상 미음']"
334,190807-11091-002,2020-09-04 16:10,"['태웅 단조', None]"
335,190807-11091-003,2020-09-04 16:10,"['태웅 단조', None]"
336,190724-14730-109,2020-09-04 19:50,"['태상 미음', '태상 미음']"
337,190724-14730-110,2020-09-04 19:50,"['태상 미음', '태상 미음']"
338,190724-14730-111,2020-09-04 19:50,"['태상 미음', '태상 미음']"
339,181102-14730-010,2020-09-04 20:50,"['태상 미음', None]"
340,190809-19004-001,2020-09-05 4:10,"['태웅 단조', '태웅 단조']"
341,190724-14730-100,2020-09-05 18:50,"['태상 미음', '태상 미음']"
342,190724-14730-101,2020-09-05 18:50,"['태상 미음', '태상 미음']"
343,190724-14730-102,2020-09-05 18:50,"['태상 미음', '태상 미음']"
344,190516-14173-017,2020-09-05 18:50,"['태상 미음', None]"
345,190424-15111-007,2020-09-05 23:50,"['태웅 단조', '태웅 단조']"
346,190806-77781-001,2020-09-06 0:30,"['태웅 단조', None]"
347,180816-15111-003,2020-09-10 19:10,"['태웅 단조', '태웅 단조']"
348,190722-72719-001,2020-09-10 22:50,"['태상 미음', '태상 미음']"
349,190523-19004-002,2020-09-10 23:30,"['태웅 단조', '태웅 단조']"
350,190523-19004-004,2020-09-10 23:30,"['태웅 단조', '태웅 단조']"
351,181112-19581-003,2020-09-11 4:50,"['태웅 단조', '태웅 단조']"
352,190724-14730-108,2020-09-17 19:30,"['태상 미음', None]"
353,190724-14730-112,2020-09-17 20:30,"['태상 미음', '태상 미음']"
354,190724-14730-113,2020-09-17 20:30,"['태상 미음', '태상 미음']"
355,190724-14730-114,2020-09-17 20:30,"['태상 미음', '태상 미음']"
356,190624-15226-001,2020-09-18 3:00,"['태웅 단조', '태웅 단조']"
357,190813-19503-001,2020-09-18 9:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
358,190813-19503-002,2020-09-18 9:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
359,190812-12321-002,2020-09-18 9:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
360,190213-99010-001,2020-09-18 9:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
361,190812-19743-001,2020-09-18 9:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
362,190812-19743-002,2020-09-18 9:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
363,190812-19743-003,2020-09-18 9:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
364,190822-19172-001,2020-09-18 9:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
365,190712-12005-001,2020-09-18 11:50,"['태웅 단조', None]"
