,0,1,2
0,190529-94594-001,2020-07-01 9:12,"['태상 미음', None]"
1,190529-94594-003,2020-07-01 9:12,"['태상 미음', None]"
2,190612-00198-001,2020-07-01 10:12,"['태상 미음', '태상 미음']"
3,190612-00198-002,2020-07-01 10:12,"['태상 미음', '태상 미음']"
4,190612-00198-003,2020-07-01 10:12,"['태상 미음', '태상 미음']"
5,190208-15111-004,2020-07-01 11:25,"['태웅 단조', None]"
6,190305-15111-002,2020-07-01 18:25,"['태웅 단조', '태웅 단조']"
7,190219-15088-001,2020-07-01 18:36,"['태웅 단조', '태상 미음']"
8,190530-12161-001,2020-07-01 18:36,"['태웅 단조', '태상 미음']"
9,190208-12005-019,2020-07-02 2:24,"['태웅 단조', None]"
10,190220-15111-001,2020-07-02 7:24,"['태웅 단조', '태웅 단조']"
11,190424-15111-006,2020-07-02 8:20,"['태웅 단조', '태웅 단조']"
12,190220-15111-001,2020-07-02 8:36,"['태웅 단조', '태웅 단조']"
13,190601-99010-001,2020-07-02 13:50,"['태웅 단조 2EA', '태웅 단조 3EA']"
14,190609-KO483-001,2020-07-02 14:50,"['태웅 단조 2EA', '태웅 단조 2EA']"
15,190609-KO483-002,2020-07-02 14:50,"['태웅 단조 2EA', '태웅 단조 2EA']"
16,181010-12339-008,2020-07-02 15:10,"['태웅 단조', None]"
17,181010-12339-011,2020-07-02 15:10,"['태웅 단조', None]"
18,190214-14730-021,2020-07-02 16:30,"['태상 미음', None]"
19,180903-12339-012,2020-07-02 19:10,"['태웅 단조', '태웅 단조']"
20,180903-12339-022,2020-07-02 19:10,"['태웅 단조', '태웅 단조']"
21,181102-14730-005,2020-07-02 19:30,"['태상 미음', '태상 미음']"
22,181102-14730-006,2020-07-02 19:30,"['태상 미음', '태상 미음']"
23,181102-14730-007,2020-07-02 19:30,"['태상 미음', '태상 미음']"
24,181010-12339-009,2020-07-02 22:10,"['태웅 단조', None]"
25,190516-14173-014,2020-07-03 15:30,"['태웅 단조', None]"
26,190516-14173-015,2020-07-03 18:30,"['태웅 단조', '태웅 단조']"
27,190516-14173-016,2020-07-03 18:30,"['태웅 단조', '태웅 단조']"
