,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
20,3017.3,30840,28620,560.5,8,118920,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,118920,16100,0,0,0,8,118920,16100,0,0,0,16620,2,누락없음,5,2019-09-18,야간,2019-09-18 3:26,수,겹침,0,8,2,A,평일,0
21,2421.6,22200,22020,478.5,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,6,81144,13524,0,0,0,12360,0,누락없음,5,2019-09-19,야간,2019-09-19 6:00,목,겹침,0,8,6,A,평일,0
22,2136.7,19920,19740,679.9,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,6,81144,13524,0,0,0,3900,0,누락없음,5,2019-09-20,야간,2019-09-20 5:53,금,안겹침,0,6,0,A,평일,0
23,4854.5,90960,73560,467.3,8,78696,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78696,9837,0,0,0,8,78696,9837,0,0,0,88200,0,누락없음,5,2019-09-23,주간,2019-09-21 22:29,토,안겹침,0,6,0,A,주말,0
24,2695.1,26340,24900,576.0,6,96600,16100,1,4430,4430,0,0,0,0,0,0,0,0,0,0,0,0,7,101030,16100,0,0,0,7,101030,16100,0,0,0,5160,2,누락없음,5,2019-09-24,주간,2019-09-23 14:27,월,안겹침,0,8,0,AC,평일,0
25,6891.1,65640,60660,140.9,0,0,0,8,103680,16185,0,0,0,0,0,0,0,0,0,0,0,0,8,103680,16185,0,0,0,0,0,0,8,103680,16185,212460,4,누락없음,5,2019-09-27,야간,2019-09-27 5:23,금,안겹침,0,7,0,C,평일,0
26,3725.3,126240,67560,611.8,0,0,0,7,46500,15930,0,0,0,0,0,0,0,0,0,0,0,0,7,46500,15930,0,0,0,4,34840,15930,3,11660,4100,2400,0,누락없음,5,2019-09-30,주간,2019-09-28 7:35,토,안겹침,0,8,0,C,주말,0
27,1952.6,18060,17880,632.1,0,0,0,0,0,0,2,13620,7010,0,0,0,0,0,0,0,0,0,4,56970,25000,0,0,0,3,50360,25000,1,6610,6610,1800,0,강종누락,5,2019-10-01,주간,2019-09-30 19:44,월,안겹침,0,7,0,S,평일,0
28,1935.9,18180,17700,635.7,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,7,94360,13480,0,0,0,1560,0,누락없음,5,2019-10-02,주간,2019-10-01 18:43,화,안겹침,0,4,0,A,평일,0
29,2382.3,23160,22440,712.8,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,0,0,7,103950,14850,0,0,0,3840,2,누락없음,5,2019-10-03,주간,2019-10-02 15:09,수,안겹침,0,7,0,A,평일,0
30,2478.5,22560,22500,625.9,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,7,94360,13480,0,0,0,14040,0,누락없음,5,2019-10-04,주간,2019-10-03 17:25,목,안겹침,0,7,0,A,평일,0
31,5536.6,132900,90660,315.9,0,0,0,9,53980,9020,0,0,0,0,0,0,0,0,0,0,0,0,9,53980,9020,0,0,0,0,0,0,9,53980,9020,76140,0,중량누락,5,2019-10-07,주간,2019-10-05 8:20,토,안겹침,0,7,0,C,주말,0
32,2885.5,26400,26160,614.9,0,0,0,8,59120,7750,0,0,0,0,0,0,0,0,0,0,0,0,8,59120,7750,0,0,0,0,0,0,8,59120,7750,2100,0,누락없음,5,2019-10-08,주간,2019-10-07 19:15,월,안겹침,0,9,0,C,평일,0
33,1591.9,14820,14520,785.6,0,0,0,5,34450,6890,1,11150,11150,0,0,0,0,0,0,0,0,0,6,45600,11150,0,0,0,1,11150,11150,5,34450,6890,1140,0,누락없음,5,2019-10-09,주간,2019-10-08 18:53,화,안겹침,0,8,0,CS,평일,0
34,2541.2,23340,23280,765.3,4,33470,12410,1,10700,10700,0,0,0,0,0,0,0,0,0,0,0,0,5,44170,12410,0,0,0,5,44170,12410,0,0,0,1440,0,중량누락,5,2019-10-10,주간,2019-10-09 19:02,수,안겹침,0,6,0,AC,평일,0
35,2843.3,25020,24420,500.3,0,0,0,2,13740,6870,0,0,0,0,0,0,0,0,0,0,0,0,5,62290,16850,0,0,0,3,48550,16850,2,13740,6870,6540,0,강종누락,5,2019-10-11,주간,2019-10-10 19:44,목,안겹침,0,5,0,C,평일,0
36,4869.2,131820,88800,478.0,6,80880,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80880,13480,0,0,0,6,80880,13480,0,0,0,46020,0,누락없음,5,2019-10-14,주간,2019-10-12 8:01,토,안겹침,0,5,0,A,주말,0
37,3451.5,32160,31440,646.0,0,0,0,8,73520,9190,1,5450,5450,0,0,0,0,0,0,0,0,0,9,78970,9190,0,0,0,1,5450,5450,8,73520,9190,7740,1,누락없음,5,2019-10-15,주간,2019-10-14 12:57,월,안겹침,0,6,0,CS,평일,0
38,1197.9,10620,10320,772.5,0,0,0,2,18380,9190,0,0,0,0,0,0,0,0,0,0,0,0,4,35430,9990,0,0,0,0,0,0,4,35430,9990,1200,0,강종누락,5,2019-10-16,주간,2019-10-15 19:34,화,겹침,1,9,2,C,평일,0
39,1963.2,16740,16260,595.8,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,7,94360,13480,0,0,0,3120,0,누락없음,5,2019-10-17,주간,2019-10-16 18:51,수,안겹침,0,4,0,A,평일,0
40,2611.4,23760,23700,635.1,7,94360,13480,2,13140,6570,0,0,0,0,0,0,0,0,0,0,0,0,9,107500,13480,0,0,0,9,107500,13480,0,0,0,1800,0,누락없음,5,2019-10-18,주간,2019-10-17 19:33,목,안겹침,0,7,0,AC,평일,0
41,688.0,6060,5820,641.2,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,0,0,7,103950,14850,0,0,0,281100,0,누락없음,5,2019-10-22,야간,2019-10-22 0:59,화,안겹침,0,9,0,A,평일,0
42,95.3,1080,1020,1000.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58800,19600,0,0,0,3,58800,19600,0,0,0,240,0,강종누락,5,2019-10-24,야간,2019-10-24 2:27,목,안겹침,0,7,0,,평일,0
43,3582.6,33600,32040,624.4,0,0,0,10,73900,8320,0,0,0,0,0,0,0,0,0,0,0,0,11,78900,8320,0,0,0,0,0,0,11,78900,8320,2220,2,강종누락,5,2019-10-25,야간,2019-10-25 2:24,금,안겹침,0,3,0,C,평일,0
44,6078.7,183600,148080,512.3,0,0,0,1,13080,13080,0,0,0,0,0,0,0,0,0,0,0,0,3,63280,25100,0,0,0,0,0,0,3,63280,25100,27240,0,강종누락,5,2019-10-28,야간,2019-10-26 7:09,토,안겹침,1,11,0,C,주말,0
45,3522.6,32700,31080,679.4,6,89100,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,89100,14850,0,0,0,6,89100,14850,0,0,0,35280,3,누락없음,5,2019-10-30,주간,2019-10-29 13:14,화,안겹침,0,3,0,A,평일,0
46,137.2,2100,2040,1003.1,8,88800,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88800,11100,0,0,0,8,88800,11100,0,0,0,300,0,누락없음,5,2019-10-31,주간,2019-10-30 14:19,수,안겹침,0,6,0,A,평일,0
47,5571.1,74520,70620,871.9,1,5830,5830,6,53070,10020,0,0,0,0,0,0,0,0,0,0,0,0,8,77750,18850,0,0,0,3,34700,18850,5,43050,8610,5880,6,강종누락,5,2019-11-01,주간,2019-10-31 12:57,목,안겹침,0,8,0,AC,평일,0
48,4765.8,49620,42120,130.4,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,0,0,0,7,103950,14850,0,0,0,264900,1,누락없음,5,2019-11-05,주간,2019-11-04 14:35,월,안겹침,0,8,0,A,주말,0
49,2224.9,20160,19800,663.7,6,80880,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,89907,13480,0,0,0,7,89907,13480,0,0,0,1380,0,강종누락,5,2019-11-07,주간,2019-11-06 18:48,수,안겹침,0,7,0,A,평일,0
50,2485.2,22020,21840,707.3,0,0,0,8,59120,7750,0,0,0,0,0,0,0,0,0,0,0,0,8,59120,7750,0,0,0,0,0,0,8,59120,7750,2400,0,누락없음,5,2019-11-08,주간,2019-11-07 19:17,목,안겹침,0,7,0,C,평일,0
51,4176.9,122880,86400,362.3,0,0,0,5,31990,7550,0,0,0,0,0,0,0,0,0,0,0,0,5,31990,7550,0,0,0,4,24440,6770,1,7550,7550,50940,0,누락없음,5,2019-11-11,주간,2019-11-09 7:18,토,안겹침,0,8,0,C,주말,0
52,2360.3,21660,20880,710.3,0,0,0,6,45540,7590,0,0,0,0,0,0,0,0,0,0,0,0,7,53440,7900,0,0,0,0,0,0,7,53440,7900,1740,0,강종누락,5,2019-11-12,주간,2019-11-11 19:35,월,안겹침,0,5,0,C,평일,0
