,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,24.61155128479004,25.048364639282227,25.223941802978516,19.452700814575596
1,21.73063087463379,22.985502243041992,23.204608917236328,17.718022586905725
2,19.762882232666016,23.17173957824707,17.604339599609375,18.29110135321374
3,26.23350715637207,23.402027130126953,28.699758529663086,18.278847690811865
4,21.825088500976562,19.695114135742188,20.513757705688477,17.365175808779185
5,22.65985870361328,25.263648986816406,28.089250564575195,20.302665240367297
6,24.305959701538086,26.636795043945312,23.292184829711914,25.748634484751193
7,21.115278244018555,25.011079788208008,23.606836318969727,19.276658975275545
8,22.38735580444336,19.921295166015625,20.249441146850586,22.336511179842443
9,22.200666427612305,25.085134506225586,25.717273712158203,24.452791845187523
average,22.683277893066407,23.622070121765137,23.62013931274414,20.322310997971012
