,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,26.440412521362305,24.078128814697266,35.59806442260742,29.88547315634984
1,11.247828483581543,12.987482070922852,11.282339096069336,20.17342090878352
2,22.552885055541992,35.596134185791016,36.959739685058594,16.89331016389633
3,25.962297439575195,26.429237365722656,21.958696365356445,16.371855259354923
4,21.889692306518555,22.3184814453125,20.55386734008789,19.113569831044025
5,19.23785400390625,21.674816131591797,17.20688819885254,17.6651194958651
6,31.644458770751953,29.254474639892578,30.694366455078125,24.225873263177725
7,24.55972671508789,25.399688720703125,25.146495819091797,24.4926449114974
8,22.74576759338379,18.24599838256836,17.7628173828125,20.707982292863164
9,20.571977615356445,27.13336753845215,25.866243362426758,17.544190176270458
average,22.68529005050659,24.31178092956543,24.30295181274414,20.70734394591025
