,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,32.319541931152344,65.61087036132812,67.94239807128906,17.513804236152357
1,26.269412994384766,30.98845672607422,25.666099548339844,27.002604980999205
2,23.521299362182617,21.748533248901367,24.45684242248535,18.14304017885227
3,25.69563865661621,28.098234176635742,29.495716094970703,29.535002643072033
4,25.575851440429688,22.742565155029297,25.139333724975586,14.594520096158439
5,18.93376922607422,21.478717803955078,57.5124397277832,16.819333594521098
6,37.20267868041992,47.827964782714844,36.62656784057617,18.589186161746866
7,28.030092239379883,23.291868209838867,21.128829956054688,21.01839112911406
8,24.33585548400879,23.378131866455078,25.59592056274414,22.52743842168254
9,26.530271530151367,29.01473617553711,29.04527473449707,22.840217765918496
average,26.84144115447998,31.418007850646973,34.26094226837158,20.858353920821735
