,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,18.582937240600586,17.228168487548828,20.928552627563477,25.91060366196491
1,19.216371536254883,20.22225570678711,20.884296417236328,23.28570121280705
2,16.801956176757812,17.23868179321289,21.096811294555664,24.19076675004129
3,29.745506286621094,33.079532623291016,30.03274154663086,25.80751353349361
4,22.222793579101562,22.182998657226562,21.942584991455078,21.49651498100545
5,27.092716217041016,29.05753517150879,28.540647506713867,37.476537915178795
6,22.02044677734375,21.925535202026367,23.148942947387695,24.614221463854076
7,26.83394432067871,30.216876983642578,37.86006546020508,30.043102901013203
8,28.055112838745117,25.695133209228516,25.156715393066406,30.684240449849558
9,26.09581756591797,26.90066146850586,27.7248592376709,28.96539871809193
average,23.66676025390625,24.37473793029785,25.731621742248535,27.247460158729986
