,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,27.627824783325195,29.34817886352539,28.11483383178711,25.605509659305998
1,19.26681137084961,20.24506950378418,20.414749145507812,16.870272626972277
2,22.303852081298828,23.11520004272461,21.765945434570312,19.021026127335922
3,26.256784439086914,26.8770751953125,64.5150375366211,29.80321585448617
4,16.677213668823242,18.19997787475586,19.34470558166504,18.837943096962796
5,18.75596809387207,18.491443634033203,17.964874267578125,24.00349129775381
6,26.97806167602539,26.2852725982666,26.972522735595703,22.15890989149374
7,21.640438079833984,30.517168045043945,27.31102752685547,23.046042182020432
8,26.70635414123535,24.875192642211914,26.119295120239258,24.522667864865998
9,20.988487243652344,25.01081657409668,33.72649383544922,22.824448339908766
average,22.720179557800293,24.296539497375488,28.624948501586914,22.669352694110593
