,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,37.154300689697266,35.35548782348633,34.94059753417969,31.262425171399478
1,21.95276641845703,44.787872314453125,20.976669311523438,24.737477512858693
2,26.14946937561035,24.756254196166992,24.480567932128906,27.83514847230444
3,64.21546936035156,60.450462341308594,67.06238555908203,53.994440927022325
4,37.7841682434082,33.440284729003906,32.366455078125,31.570462370569548
5,41.365108489990234,46.9189338684082,31.923030853271484,31.580929718120487
6,57.6574821472168,38.7889404296875,43.449790954589844,31.081353965131697
7,17.613183975219727,38.90211486816406,40.4307975769043,24.836579294216797
8,62.699642181396484,57.064815521240234,68.92272186279297,47.007001527868816
9,38.002742767333984,41.879878997802734,38.890960693359375,33.97356916703404
average,40.45943336486816,42.234504508972165,40.344397735595706,33.78793881265263
