,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,19.622819900512695,19.5859432220459,18.57373809814453,16.401464639008385
1,15.832124710083008,17.91727638244629,17.23278045654297,16.771987548685207
2,17.5148868560791,21.764163970947266,22.21055030822754,35.3452138178492
3,14.22021484375,11.519299507141113,12.365461349487305,19.244345292104757
4,20.64451789855957,20.66724967956543,20.913705825805664,23.892011814172793
5,19.517332077026367,21.021156311035156,20.68150520324707,16.383085475002424
6,20.659996032714844,23.495750427246094,22.28372573852539,22.702657103335856
7,22.585731506347656,20.9847412109375,21.13563346862793,24.84546009682784
8,22.868993759155273,20.982894897460938,23.291017532348633,18.06465978737995
9,24.938522338867188,30.158536911010742,21.917802810668945,23.703053316375378
average,19.84051399230957,20.809701251983643,20.060592079162596,21.73539388907418
