,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,13.997313499450684,13.303823471069336,13.346007347106934,18.998917216227902
1,11.379180908203125,16.929370880126953,18.900123596191406,16.59977721919344
2,16.93419075012207,16.856613159179688,17.398881912231445,17.97201641219965
3,15.344855308532715,23.56553077697754,24.470367431640625,24.327738900929795
4,20.886192321777344,24.22547149658203,22.278697967529297,30.632965377387055
5,14.070079803466797,15.173543930053711,14.537239074707031,17.08183263386741
6,15.702916145324707,15.64510726928711,59.939971923828125,18.92028688422578
7,17.492759704589844,22.63308334350586,21.77942657470703,22.928525153446547
8,15.41930866241455,11.953840255737305,14.425724029541016,13.838234490921996
9,14.658013343811035,14.749533653259277,14.1179838180542,17.471843952820535
average,15.588481044769287,17.50359182357788,22.11944236755371,19.877213824122013
