,종료온도_시간(총)_MLP_5_5_에너지
0,10.730993270874023
1,9.759925842285156
2,12.510436058044434
3,8.482738494873047
4,11.932012557983398
5,10.333820343017578
6,12.096538543701172
7,10.392160415649414
8,11.336579322814941
9,9.812597274780273
average,10.738780212402343
