,시간(총)_MLP_4_4_에너지
0,9.293854077657064
1,8.828352655683245
2,9.263511067345028
3,8.960068838936943
4,9.119921457199823
5,8.586637996491932
6,9.422265143621535
7,9.322313672020321
8,8.711387679690407
9,9.051777521769205
average,9.05600901104155
