,시간(총)_MLP_6_6_에너지
0,12.793459661079176
1,12.594899900031812
2,14.229747887813684
3,13.44316410295891
4,12.392906853646943
5,12.672356894522002
6,12.665650454434482
7,13.352975036158707
8,12.208057808153557
9,14.090435837254379
average,13.044365443605367
