,[1]_시간(총)_MLP_3_3_에너지,[2]_시간(총)_MLP_5_5_에너지,[3]_시간(총)_MLP_6_6_에너지,[4]_장입최대중량_시간(총)_MLP_4_4_에너지,[5]_시작온도_시간(총)_MLP_3_3_에너지,[6]_시간(총)_MLP_3_3_에너지,[13]_종료온도_시간(총)_MLP_5_5_에너지,[17]_시간(총)_MLP_3_5_에너지,[18]_시간(총)_MLP_6_6_에너지,[19]_시간(총)_MLP_3_3_에너지,[20]_시간(총)_MLP_4_4_에너지
0,8.942698066299027,7.098039025845735,10.007057154620135,7.97363312143675,9.427669525146484,8.760855356852213,29.03415870666504,9.816279964682497,13.762397054641966,11.114180819193523,9.434240929874374
1,9.029794151718551,8.193929817365563,10.082905698705602,8.546519104863556,9.61603832244873,9.593577278984917,12.872427940368652,9.526220121501405,14.891660569206117,10.168763732910156,10.281287075560769
2,10.062756461066169,8.67645732216213,9.742412001998336,8.536772701102244,8.947286605834961,11.121964984469944,43.24259567260742,9.533425972785478,14.69546847873264,10.153135172526042,9.428493558624645
3,7.899282094594595,8.242690901825393,9.320277637905544,7.748615842469981,9.172176361083984,8.355006323920357,21.819435119628906,8.970045572445716,13.164853656102741,8.309875996907552,8.44664059156253
4,8.529073393022692,7.745530695155047,9.429006329289189,9.085648684434489,10.173556327819824,9.109796841939291,13.306663513183594,9.02692625257704,14.526080964103578,9.954574394226075,9.435241063435873
5,8.940806182655129,7.939531561257183,9.07900947994656,7.636000969040562,9.932916641235352,9.678352567884657,15.60747241973877,9.648096920531472,14.006519998822894,9.839725812276205,9.457675462887611
6,8.496852617006045,7.736688275268112,8.73826046343203,8.35910510345244,10.79529094696045,9.391905731625027,9.035367965698242,9.969529375617887,14.256357389783103,10.051650619506836,10.170219703956887
7,9.089692167333654,7.832981703937918,9.20842273147018,8.393389312314316,9.5526704788208,9.032287067837185,11.970630645751953,7.743282871481813,12.228089514232817,11.248330243428548,8.011325388778875
8,10.31690909411456,7.552453317503998,9.759874025980631,7.9876202395264535,9.993128776550293,9.483657519022623,9.989802360534668,9.360918633731796,13.001137476118783,10.372257614135743,9.255943651552554
9,9.392651313060039,8.695350246153016,10.428767416212294,8.065205694923938,9.532149314880371,9.95453585518731,10.412900924682617,9.060866591371136,14.35895421769884,10.234568850199382,8.930081826669198
average,9.070051554087048,7.971365286647409,9.57959929395605,8.233251077356472,9.714288330078125,9.448193952772353,17.729145526885986,9.265559227672624,13.88915193194435,10.144706325531006,9.285114925290332
