,시간(총)_MLP_3_5_에너지
0,8.634860998176666
1,9.114089488983154
2,8.829499026378953
3,8.764996735446424
4,9.215586466961597
5,9.087831715503372
6,8.528771854308715
7,8.575032935085067
8,8.397775380008191
9,8.758875134479569
average,8.790731973533171
