,시간(총)_MLP_5_5_에너지
0,7.428313899684596
1,7.318700120255754
2,7.71424878610147
3,7.7846377346966715
4,6.486880637503959
5,7.961499033747493
6,7.704702080907048
7,7.628580505783494
8,6.936742254205652
9,8.123620729188662
average,7.508792578207479
