,시작온도_시간(총)_MLP_3_3_에너지
0,9.427669525146484
1,9.61603832244873
2,8.947286605834961
3,9.172176361083984
4,10.173556327819824
5,9.932916641235352
6,10.79529094696045
7,9.5526704788208
8,9.993128776550293
9,9.532149314880371
average,9.714288330078125
