,장입최대중량_시간(총)_MLP_4_4_에너지
0,7.97363312143675
1,8.546519104863556
2,8.536772701102244
3,7.748615842469981
4,9.085648684434489
5,7.636000969040562
6,8.35910510345244
7,8.393389312314316
8,7.9876202395264535
9,8.065205694923938
average,8.233251077356472
