,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외)
0,147.3635876304225,133.58837513970104,175.8662149529708,171.2898946859508,67.01929273103413,185.71307192845174,82.53590754458779,132.40883384355743,60.283357319078945,203.1094474044309,66.97874410528885,165.77826395636487
1,52.92113033093904,104.84068808857769,66.55532555831105,130.65020737443805,75.19860598915501,163.67651942032805,53.94116793180767,125.78402508785891,63.94850801166735,166.80225991676795,74.57769675003856,166.62894450961562
2,52.83142692164371,68.235658073832,59.757366381193464,108.03095433283929,63.707511500308385,119.1441785894641,49.37134572079307,75.83772903565544,57.12019508763363,127.84947872749997,60.38545708907278,132.93470364605818
3,63.96083149157072,96.69194389619697,63.50851058959961,146.64710080346305,65.19406127929688,143.1734656046163,73.28166399504009,102.86375505377974,61.48228695518092,165.3181939153456,67.74696831954152,143.25128069923022
4,93.1488420586837,105.07164238504714,105.34711195293225,173.34829510850653,85.59711155138518,174.5836846123292,82.3792196574964,102.8802539586546,65.19026204159385,164.50940165756447,79.00059087652909,142.9255366288686
5,61.27619893927323,77.3557303247982,64.72010642603824,106.22403552828033,79.38561048005757,124.25494253004273,64.44594312969006,84.68862271972816,64.66654084858142,120.71963082200654,81.41298394454152,128.20047120825308
6,73.33915951377467,107.21422124126327,75.44310318796258,153.391005792033,87.4946104350843,138.523440862397,62.117463764391445,118.72315345363383,64.28744828073602,167.98160117793398,76.0216000205592,139.91551755559286
7,67.48419490613435,101.95837296120192,64.9701112446032,144.60023829303364,77.17606654920075,166.97903531998122,73.1682347749409,104.19044317456283,67.57917283710681,152.79264013891276,81.25334609182258,169.68278717401333
8,53.54321891383121,83.5765476984927,63.33291846827457,165.80425474299747,75.45387508994655,171.3961753347973,55.98222732543945,90.53990101906474,64.12380660207648,175.38414295851618,78.96823441354852,170.67634576033322
9,57.117209785862975,81.4616312673823,69.2347910027755,140.94304657182596,71.82704202752365,135.56755588413128,58.12832741988333,87.80692350908896,68.48117547286184,159.92977493445858,71.28528594970703,137.83822309313135
average,72.29858004921361,95.99948110764933,80.87355597646612,144.09290332333683,74.80537876329925,152.30120700865388,65.53515012640703,102.57236408555846,63.71627534565173,160.43965716534368,73.76309075606495,149.7832074231461
