,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
36,hold,,0,,,,,,,8.599999999627471,4,,,,,,2020-01-07 18:14:00,1283.0,,,,,2020-01-07 18:17:00,1285.5,,,1284.975,
37,open,,0,,,,,,,17.200000001117587,4,,,,,,2020-01-07 18:17:00,1285.5,,,,,2020-01-07 18:26:00,1027.4,,,,
38,reheat,,0,,,,,,,82.29999999888241,4,,,,0,,2020-01-07 18:26:00,1027.4,,,,,2020-01-07 18:53:00,,,,,
39,hold,,0,,,,,,,51.5,4,,,,,,2020-01-07 18:53:00,1249.5,,,,,2020-01-07 19:16:00,1258.2,,,1252.4375,
40,open,,0,,,,,,,6.800000000745058,4,,,,,,2020-01-07 19:16:00,1258.2,,,,,2020-01-07 19:22:00,934.9,,,,
41,reheat,,0,,,,,,,129.90000000037253,4,,,,0,,2020-01-07 19:22:00,934.9,,,,,2020-01-07 19:46:00,,,,,
42,heat,3,0,750.5999999999998,,,increasing 0,500.39999999999986,0.6666666666666666,398.69999999925494,4,1258.6,0,0,4,"['191208-99010-001', '191209-99010-001', '191213-99010-001', '200108-051']",2020-01-07 20:31:00,758.2,2020-01-07 20:31:00,758.2,2020-01-07 20:13:00,,2020-01-07 21:11:00,1258.6,,0,,
43,open,,0,,,,,,,8.800000000745058,4,,,,,,2020-01-08 09:36:00,1252.2,,,,,2020-01-08 09:43:00,955.9,,,,
44,reheat,,0,,,,,,,43.5,4,,,,1,,2020-01-08 09:43:00,955.9,,,,,2020-01-08 09:54:00,,,,,
45,open,,0,,,,,,,0.0,4,,,,,,2020-01-08 09:56:00,1263.6,,,,,2020-01-08 09:58:00,1027.3,,,,
46,reheat,,0,,,,,,,36.59999999962747,4,,,,1,,2020-01-08 09:58:00,1027.3,,,,,2020-01-08 10:07:00,,,,,
47,open,,0,,,,,,,3.5,4,,,,,,2020-01-08 10:08:00,1270.6,,,,,2020-01-08 10:11:00,999.3,,,,
48,reheat,,0,,,,,,,12.199999999254942,4,,,,1,,2020-01-08 10:11:00,999.3,,,,,2020-01-08 10:15:00,,,,,
49,hold,,0,,,,,,,676.0999999996275,4,,,,,,2020-01-08 10:15:00,1156.3,,,,,2020-01-08 15:16:00,1252.6,,,1246.5493377483444,
50,open,,0,,,,,,,10.400000000372529,4,,,,,,2020-01-08 15:16:00,1252.6,,,,,2020-01-08 15:23:00,1033.5,,,,
51,reheat,,0,,,,,,,62.80000000074506,4,,,,1,,2020-01-08 15:23:00,1033.5,,,,,2020-01-08 15:43:00,,,,,
52,heat,4,0,549.2903225806451,,,increasing 0,567.6,1.0333333333333334,670.3999999985099,4,1259.2,0,0,1,"['200105-19180-272', '200105-19180-270', '200105-19180-269', '200105-19180-268', '200105-19180-267', '200105-19180-266', '200105-19180-265', '200105-19180-271']",2020-01-08 18:40:00,691.6,2020-01-08 18:40:00,691.6,2020-01-08 17:56:00,,2020-01-08 19:42:00,1259.2,,0,,
53,open,,0,,,,,,,14.0,4,,,,,,2020-01-09 15:34:00,1255.4,,,,,2020-01-09 15:44:00,1057.5,,,,
54,reheat,,0,,,,,,,29.799999998882413,4,,,,0,,2020-01-09 15:44:00,1057.5,,,,,2020-01-09 15:52:00,,,,,
