,KNN,MLP,REAL,Type,error_KNN,error_MLP,시간(총),시작온도,장입소재개수,장입중량총합,장입최대중량
0,199.73440429202225,367.48297119140625,341.1000000005588,Holding Phase,141.36559570853655,26.382965087890625,12480.0,1285.5,5,69060.0,15660
1,127.32042642940405,48.15073776245117,141.5,Holding Phase,14.179573570595949,93.34925842285156,2520.0,1256.3,4,31150.0,9310
2,161.93684753390278,153.8017578125,285.6000000005588,Holding Phase,123.66315246665602,131.79824829101562,7020.0,1280.9,4,46160.0,11920
3,122.010573590116,68.7176284790039,72.40000000037253,Holding Phase,49.61057358974347,3.682373046875,3060.0,1245.6,8,47160.0,7220
4,501.21922734112457,1571.2452392578125,1841.0,Holding Phase,1339.7807726588753,269.7547607421875,45540.0,1258.9,4,32960.0,8240
5,160.8073188320479,124.57838439941406,94.7000000001863,Holding Phase,66.10731883186162,29.878387451171875,3720.0,1282.1,7,56330.0,8240
6,123.65534861235903,214.9645538330078,161.89999999944118,Holding Phase,38.24465138708214,53.06455993652344,4860.0,1267.8,9,66260.0,8600
7,125.02890670158449,202.3564453125,91.0,Holding Phase,34.02890670158449,111.3564453125,4680.0,1273.3,8,62480.0,7810
8,133.87961157370634,137.5552978515625,112.7000000001863,Holding Phase,21.17961157352005,24.855300903320312,4620.0,1266.9,8,51600.0,6450
9,164.66158707351917,283.24072265625,341.1000000005588,Holding Phase,176.43841292703962,57.859283447265625,12480.0,1285.5,5,69060.0,15660
10,412.80406037201465,729.34033203125,825.5999999996277,Holding Phase,412.79593962761305,96.2596435546875,26400.0,1262.1,4,26700.0,8500
11,151.2380144684614,153.1802215576172,285.6000000005588,Holding Phase,134.3619855320974,132.41978454589844,7020.0,1280.9,4,46160.0,11920
12,139.7750255166806,937.7478637695312,702.6000000005588,Holding Phase,562.8249744838781,235.14788818359375,26040.0,1257.9,9,50130.0,5570
13,245.51205561035172,112.40184020996094,88.0,Holding Phase,157.51205561035172,24.401840209960938,2880.0,1262.1,3,20720.0,8880
14,128.32643248436818,88.85935974121094,161.89999999944118,Holding Phase,33.573567515072995,73.04063415527344,4860.0,1267.8,9,66260.0,8600
15,143.25299497352174,756.7691650390625,818.5,Holding Phase,675.2470050264783,61.7308349609375,22200.0,1281.5,10,76350.0,7950
16,142.47135761674298,226.7819061279297,261.09999999962747,Holding Phase,118.6286423828845,34.31809997558594,9480.0,1284.7,7,48770.0,8030
17,158.40773954990888,56.01445770263672,72.40000000037253,Holding Phase,86.00773954953635,16.385543823242188,3060.0,1245.6,8,47160.0,7220
18,289.1087215884815,311.3335266113281,341.1000000005588,Holding Phase,51.99127841207729,29.7664794921875,12480.0,1285.5,5,69060.0,15660
19,335.4100364638818,1541.1976318359375,1841.0,Holding Phase,1505.5899635361181,299.8023681640625,45540.0,1258.9,4,32960.0,8240
20,155.2787857833468,38.29350662231445,81.6000000005588,Holding Phase,73.678785782788,43.30649185180664,2400.0,1285.5,8,49840.0,6230
21,200.08676806198238,587.0669555664062,818.5,Holding Phase,618.4132319380176,231.43304443359375,22200.0,1281.5,10,76350.0,7950
22,206.21905862443734,149.49420166015625,166.80000000074506,Holding Phase,39.41905862369228,17.305801391601562,5340.0,1263.4,3,23630.0,13930
23,186.6936509123862,138.35971069335938,285.6000000005588,Holding Phase,98.90634908817259,147.24029541015625,7020.0,1280.9,4,46160.0,11920
24,267.2879065655569,564.341552734375,818.5,Holding Phase,551.2120934344431,254.158447265625,22200.0,1281.5,10,76350.0,7950
25,188.96061528747754,541.943115234375,341.1000000005588,Holding Phase,152.13938471308126,200.84310913085938,12480.0,1285.5,5,69060.0,15660
26,516.6162708980968,1438.4112548828125,1841.0,Holding Phase,1324.383729101903,402.5887451171875,45540.0,1258.9,4,32960.0,8240
27,111.37778125180782,77.22113037109375,161.89999999944118,Holding Phase,50.52221874763336,84.67886352539062,4860.0,1267.8,9,66260.0,8600
28,145.75409454306765,50.10334014892578,81.6000000005588,Holding Phase,64.15409454250886,31.496658325195312,2400.0,1285.5,8,49840.0,6230
29,149.78243324851934,52.452449798583984,72.40000000037253,Holding Phase,77.38243324814681,19.947551727294922,3060.0,1245.6,8,47160.0,7220
30,293.64342195134725,476.5427551269531,321.59999999962747,Holding Phase,27.95657804828022,154.9427490234375,14460.0,1263.4,4,35760.0,8940
31,207.00174882426575,104.54312896728516,69.8999999994412,Holding Phase,137.10174882482454,34.64312744140625,2520.0,1278.9,4,30040.0,7810
32,310.1808361613602,1040.35498046875,702.6000000005588,Holding Phase,392.4191638391986,337.7550048828125,26040.0,1257.9,9,50130.0,5570
33,408.59968906889213,1574.8935546875,1841.0,Holding Phase,1432.400310931108,266.1064453125,45540.0,1258.9,4,32960.0,8240
34,213.2898104489574,266.6639099121094,209.6999999992549,Holding Phase,3.5898104497024974,56.96391296386719,6960.0,1269.8,7,52210.0,15760
35,134.1848473843123,73.77649688720703,81.6000000005588,Holding Phase,52.5848473837535,7.8235015869140625,2400.0,1285.5,8,49840.0,6230
36,177.6707550080902,165.41363525390625,285.6000000005588,Holding Phase,107.9292449924686,120.18637084960938,7020.0,1280.9,4,46160.0,11920
37,167.4716924007084,110.57682800292969,69.8999999994412,Holding Phase,97.5716924012672,40.67682647705078,2520.0,1278.9,4,30040.0,7810
38,151.16282120869474,100.44158935546875,94.7000000001863,Holding Phase,56.462821208508444,5.7415924072265625,3720.0,1282.1,7,56330.0,8240
39,166.69270581598795,65.1370849609375,141.5,Holding Phase,25.19270581598795,76.3629150390625,2520.0,1256.3,4,31150.0,9310
