,KNN,MLP,REAL,Type,error_KNN,error_MLP,시간(총),시작온도,장입소재개수,장입중량총합,장입최대중량
0,332.40269815328344,249.83633422851562,155.30000000074506,Holding Phase,177.10269815253838,94.53633117675781,3300.0,1267.8,10,101610.0,15760
1,1018.0211472963152,1209.9332275390625,1111.5999999996277,Holding Phase,93.57885270331246,98.333251953125,29400.0,1283.6,8,59400.0,8250
2,1016.2933355154616,597.395263671875,652.5,Holding Period,363.79333551546165,55.104736328125,8340.0,648.2,7,106310.0,26000
3,2398.6744477212674,2267.302001953125,3238.0,Holding Phase,839.3255522787326,970.697998046875,53220.0,1250.5,8,76432.0,9554
4,1170.9629787676315,1846.6070556640625,1619.1999999992554,Holding Phase,448.2370212316239,227.4071044921875,38700.0,1252.3,3,59560.0,22930
5,177.2800782285153,240.0092315673828,309.5,Holding Phase,132.2199217714847,69.49076843261719,5520.0,1268.9,7,56660.0,9310
6,2913.4873447794403,3433.3154296875,3846.799999998881,Holding Phase,933.3126552194408,413.484619140625,91560.0,1273.6,7,43200.0,11920
7,167.0888649316823,198.40133666992188,187.6999999992549,Holding Phase,20.611135067572604,10.701339721679688,4200.0,1290.4,7,53360.0,8510
8,830.4297519140615,779.6387329101562,321.1,Holding Period,509.3297519140615,458.5387268066406,20580.0,300.6,7,94360.0,13480
9,502.9188361814747,655.8662719726562,534.5,Holding Phase,31.581163818525283,121.36627197265625,14580.0,1279.0,10,112810.0,20850
10,521.9747142283533,583.3555908203125,553.7000000000698,Holding Phase,31.725285771716585,29.65557861328125,8880.0,1251.2,5,71620.0,21400
11,427.56171488206496,351.5803527832031,381.0,Holding Phase,46.56171488206496,29.419647216796875,8460.0,1284.9,9,88160.0,15660
12,268.16896075822996,284.12005615234375,245.5999999996274,Holding Phase,22.568960758602543,38.520050048828125,5940.0,1272.2,6,89100.0,14850
13,1686.538983299499,1537.031005859375,1870.7999999988824,Holding Phase,184.2610166993834,333.76904296875,32700.0,1238.3,4,48404.0,18129
14,386.9127037040465,272.1504821777344,89.40000000037253,Holding Phase,297.512703703674,182.75048828125,1980.0,1277.8,11,98570.0,9910
15,2808.6165672962047,2826.34716796875,4105.699999999255,Holding Phase,1297.0834327030502,1279.35302734375,59160.0,1249.2,7,103950.0,14850
16,2363.5797711060018,2247.265625,2528.3999999985103,Holding Phase,164.82022889250857,281.13427734375,45300.0,1267.6,7,94360.0,13480
17,441.93124967365713,200.720947265625,108.0,Holding Phase,333.93124967365713,92.720947265625,1980.0,1278.0,4,62940.0,22930
18,357.9417195033175,251.43446350097656,161.59999999962747,Holding Phase,196.34171950369,89.83445739746094,3120.0,1273.0,10,88580.0,9410
19,396.06528306938367,481.5905456542969,689.3000000000467,Holding Phase,293.234716930663,207.70944213867188,9240.0,1248.0,8,112000.0,16085
20,219.11834996168005,128.8253173828125,98.39999999850988,Holding Phase,120.71834996317017,30.425315856933594,2160.0,1274.1,6,87600.0,18100
21,217.5844771651144,418.95806884765625,592.5,Holding Phase,374.91552283488556,173.54193115234375,8340.0,1251.8,5,38170.0,13930
22,223.95723338189794,195.0183868408203,205.80000000074506,Holding Phase,18.157233381152878,10.7816162109375,4200.0,1277.2,6,77680.0,15760
23,290.13950790093486,256.12322998046875,181.6999999992549,Holding Phase,108.43950790167995,74.42323303222656,3060.0,1262.8,6,70070.0,19350
24,346.9385489355155,298.2433776855469,106.80000000074509,Holding Phase,240.1385489347704,191.44337463378906,2700.0,1270.8,11,86380.0,8070
25,754.9652290247221,461.0024719238281,176.6,Holding Period,578.3652290247221,284.4024658203125,6180.0,653.1,6,57324.0,9554
26,207.9781058288041,197.55506896972656,174.4000000003726,Holding Phase,33.57810582843152,23.155075073242188,4260.0,1267.4,6,48370.0,9490
27,213.23883811967724,508.6141052246094,431.3000000007452,Holding Phase,218.06116188106793,77.31411743164062,10020.0,1262.4,4,40853.0,13263
28,761.601357599472,1256.8336181640625,1738.6999999999537,Holding Phase,977.0986424004817,481.8663330078125,20820.0,1252.6,6,100680.0,19920
29,631.5069862859011,1101.904052734375,808.0,Holding Phase,176.49301371409888,293.904052734375,20100.0,1252.9,7,98620.0,15760
30,221.2951766972894,250.0042724609375,299.59999999962747,Holding Phase,78.30482330233806,49.595733642578125,6360.0,1276.0,7,67260.0,10800
31,667.2437593792425,860.8010864257812,936.5999999996277,Holding Phase,269.35624062038517,75.79888916015625,20880.0,1250.7,9,80510.0,9530
32,2951.16018405254,3003.4326171875,3249.7000000011176,Holding Phase,298.5398159485776,246.267333984375,63720.0,1253.9,4,84900.0,22350
33,401.6848279934889,551.9183349609375,592.8000000007453,Holding Phase,191.11517200725638,40.88165283203125,13020.0,1281.2,10,88660.0,9910
34,275.7098457305523,276.5274658203125,246.0999999996274,Holding Phase,29.60984573092486,30.427459716796875,6720.0,1277.5,8,76432.0,9554
35,313.4830050683534,283.6301574707031,168.0,Holding Phase,145.4830050683534,115.63015747070312,4020.0,1274.4,10,75880.0,7960
36,271.3436579166093,150.641845703125,110.0,Holding Phase,161.3436579166093,40.641845703125,1980.0,1274.4,9,112790.0,13480
37,1740.2113523955643,1726.7406005859375,2523.199999999953,Holding Phase,782.9886476043887,796.4593505859375,33720.0,1252.0,4,79100.0,24100
38,2809.1284941179038,2512.887451171875,2684.4000000003725,Holding Phase,124.72849411753123,171.512451171875,55800.0,1271.2,8,96460.0,13480
39,370.8854736917392,523.0660400390625,658.6999999992547,Holding Phase,287.8145263075155,135.63397216796875,11700.0,1287.0,6,59320.0,13850
