,시간(총)_MLP_7_7_에너지
0,9.836080869
1,10.15813497
2,9.926276034
3,8.068429571
4,10.14460784
5,9.905643521
6,11.08321646
7,9.764034965
8,8.788513473
9,11.0708424
average,9.87457801
