,시간(총)_MLP_7_7_에너지
0,9.419194221
1,9.480841637
2,9.419194221
3,10.35053062
4,10.44337559
5,9.529891014
6,10.35053062
7,10.16012764
8,10.06327724
9,10.40043068
average,9.961739349
