,시간(총)_MLP_6_6_에너지
0,8.959552765
1,9.359573364
2,9.009829521
3,9.249564171
4,8.994858742
5,8.184381485
6,10.39845276
7,8.799433708
8,10.4559536
9,9.644552231
average,9.305615234
