,시간(총)_MLP_7_7_에너지
0,11.731047196821732
1,12.109451062751539
2,11.812923084605824
3,12.762436577768037
4,10.977294719580447
5,14.354035782091545
6,11.168107755256422
7,12.009463998404415
8,12.726886460275361
9,13.268660054062352
average,12.292030669161768
