,시작온도_시간(총)_MLP_10_10_에너지
0,13.692808498035777
1,12.747210415926846
2,13.552010305000074
3,11.95071293368484
4,14.087979822447807
5,12.46517750711152
6,15.229323936231209
7,13.660861419908928
8,13.726970437801246
9,13.126916509686094
average,13.423997178583434
