,시간(총)_MLP_5_3_에너지
0,9.726843834
1,9.224129677
2,8.211273193
3,9.437302589
4,9.084616661
5,8.90381813
6,8.763328552
7,9.391631126
8,9.585874557
9,9.765499115
average,9.209431744
