,시작온도_시간(총)_MLP_9_9_에너지
0,13.49499416
1,10.47339916
2,12.91461182
3,10.89999008
4,13.83753014
5,10.94713402
6,12.83604908
7,13.46755028
8,13.57946873
9,13.76544762
average,12.62161751
