,시작온도_시간(총)_MLP_5_5_에너지
0,10.76446724
1,10.69137573
2,10.53380013
3,11.77639198
4,13.74573994
5,10.56897545
6,9.271025658
7,12.31978321
8,10.87794685
9,9.544963837
average,11.009447
