,시간(총)_MLP_1_3_에너지
0,6.974892139
1,7.645794392
2,7.735785484
3,7.580838203
4,8.820527077
5,7.549017906
6,7.899905682
7,7.645794392
8,8.08266449
9,9.197552681
average,7.913277245
