,시간(총)_MLP_2_2_에너지
0,9.384200096
1,9.355937004
2,9.156001091
3,9.426159859
4,8.42198658
5,10.01419353
6,9.561894417
7,9.464709282
8,9.47308445
9,10.12529659
average,9.438346291
