,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생,강종,강종_ALLOY,강종_CARBON,강종_SUS
15,838.0,4740.0,4200.0,769.6,1261.6,0,0.0,0,5,41250.0,8250,3,18150.0,6050,0,0.0,0,0,0.0,0,0,0.0,0,8,59400.0,8250,0,0.0,0,0,0.0,0,8,59400.0,8250,2280.0,0,누락없음,2,2020-03-13,주간,2020-03-12 19:18:00,목,안겹침,이상없음,7,0,CS,평일,0,CARBON,0,1,0
16,2110.9,18720.0,18420.0,756.8,1257.0,8,76432.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,76432.0,9554,0,0.0,0,0,0.0,0,8,76432.0,9554,960.0,0,누락없음,5,2020-03-13,야간,2020-03-13 06:22:00,금,안겹침,이상없음,7,0,A,평일,0,ALLOY,1,0,0
17,840.8,5460.0,5400.0,782.4,1198.1,8,76432.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,76432.0,9554,0,0.0,0,0,0.0,0,8,76432.0,9554,14280.0,0,누락없음,3,2020-03-13,주간,2020-03-12 18:00:00,목,겹침,이상없음,9,8,A,평일,0,ALLOY,1,0,0
18,129.1,1080.0,1020.0,1005.3,1260.9,7,103950.0,14850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,103950.0,14850,0,0.0,0,0,0.0,0,7,103950.0,14850,8160.0,0,누락없음,4,2020-03-17,주간,2020-03-16 12:58:00,월,안겹침,이상없음,6,0,A,주말,0,ALLOY,1,0,0
19,139.5,1140.0,1080.0,856.4,1246.9,6,89100.0,14850,1,22100.0,22100,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,111200.0,22100,0,0.0,0,1,22100.0,22100,6,89100.0,14850,1020.0,0,누락없음,3,2020-03-18,야간,2020-03-18 01:15:00,수,안겹침,이상없음,7,0,AC,평일,0,ALLOY,1,0,0
20,1801.6,13380.0,13260.0,712.9,1256.5,7,94360.0,13480,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,94360.0,13480,0,0.0,0,0,0.0,0,7,94360.0,13480,1800.0,0,누락없음,5,2020-03-18,주간,2020-03-17 18:54:00,화,안겹침,이상없음,5,0,A,평일,0,ALLOY,1,0,0
21,158.8,1620.0,1560.0,792.8,1259.0,6,89100.0,14850,1,28000.0,28000,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,117100.0,28000,0,0.0,0,0,0.0,0,7,117100.0,28000,1320.0,0,누락없음,4,2020-03-18,주간,2020-03-17 13:20:00,화,안겹침,이상없음,7,0,AC,평일,0,CARBON,0,1,0
22,338.8,3000.0,2880.0,610.5,1256.8,6,80880.0,13480,1,22100.0,22100,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,102980.0,22100,0,0.0,0,0,0.0,0,7,102980.0,22100,960.0,0,누락없음,2,2020-03-19,야간,2020-03-19 02:48:00,목,안겹침,이상없음,7,0,AC,평일,0,ALLOY,1,0,0
23,2347.3,16980.0,16800.0,621.4,1256.4,6,80880.0,13480,2,34700.0,17350,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,115580.0,17350,0,0.0,0,0,0.0,0,8,115580.0,17350,2280.0,0,누락없음,5,2020-03-19,주간,2020-03-18 21:31:00,수,안겹침,이상없음,7,0,AC,평일,0,ALLOY,1,0,0
24,2015.5,10980.0,10680.0,595.5,1178.5,0,0.0,0,6,90270.0,16085,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,90270.0,16085,0,0.0,0,0,0.0,0,6,90270.0,16085,780.0,0,누락없음,6,2020-03-20,야간,2020-03-20 06:17:00,금,안겹침,이상없음,5,0,C,평일,0,CARBON,0,1,0
25,831.2,5040.0,4860.0,765.6,1259.4,8,76432.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,76432.0,9554,0,0.0,0,0,0.0,0,8,76432.0,9554,11940.0,0,누락없음,4,2020-03-20,주간,2020-03-19 18:23:00,목,겹침,이상없음,8,8,A,평일,0,ALLOY,1,0,0
26,297.3,2100.0,2100.0,892.4,1256.5,0,0.0,0,1,13930.0,13930,4,24240.0,6090,0,0.0,0,0,0.0,0,0,0.0,0,5,38170.0,13930,0,0.0,0,0,0.0,0,5,38170.0,13930,780.0,0,누락없음,3,2020-03-24,주간,2020-03-23 18:28:00,월,안겹침,이상없음,7,0,CS,주말,0,SUS,0,0,1
27,163.5,1860.0,1740.0,1022.7,1253.2,6,89100.0,14850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,89100.0,14850,0,0.0,0,0,0.0,0,6,89100.0,14850,8400.0,0,누락없음,4,2020-03-25,야간,2020-03-25 01:20:00,수,안겹침,이상없음,7,0,A,평일,0,ALLOY,1,0,0
28,825.2,4740.0,3600.0,927.4,1256.6,7,94360.0,13480,2,16060.0,8030,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,110420.0,13480,0,0.0,0,0,0.0,0,9,110420.0,13480,1800.0,0,누락없음,3,2020-03-25,주간,2020-03-24 19:14:00,화,안겹침,이상없음,5,0,AC,평일,0,CARBON,0,1,0
29,1920.4,10020.0,9840.0,655.1,1252.9,0,0.0,0,5,71530.0,19630,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,71530.0,19630,0,0.0,0,0,0.0,0,5,71530.0,19630,900.0,0,누락없음,6,2020-03-25,야간,2020-03-25 04:44:00,수,안겹침,이상없음,6,0,C,평일,0,CARBON,0,1,0
