,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,12.761566162109375,43.936336397354005,8.995265007019043,51.7263928620771
1,9.456761360168457,48.39661980244069,16.748868942260742,34.31256347349898
2,19.650114059448242,42.46543365737857,11.816239356994629,53.29752401576919
3,14.10189151763916,73.67490568416505,7.412477016448975,56.578189522838464
4,10.080382347106934,62.859320035014,13.657373428344727,85.49136788413183
5,13.215164184570312,82.25821135448858,9.385515213012695,82.13074154322028
6,8.857368469238281,24.746975901383834,6.290097713470459,45.55646982118498
7,12.67398738861084,88.68551949132996,10.047760963439941,107.69262088941247
8,7.204268455505371,42.252037473460064,6.731058120727539,46.42629983249521
9,12.09636116027832,108.98212711377604,19.190876007080078,108.41147419634167
average,12.00978651046753,61.825748691079085,11.027553176879882,67.16236440409702
