,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,이전 종료온도,쉰시간,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,4,1,888.0,2020-01-02 17:18:00,2020-01-02 18:44:00,5160,544.8,1254.6,1257.1,14580,5,32300,10100,CARBON,0,1,0,0,0,0,5,32300,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32300,10100,0,누락없음,5100,1/3/2020,주간,목,안겹침,이상없음,8,0,C,평일,0
1,4,3,398.7,2020-01-07 20:31:00,2020-01-07 21:11:00,2400,758.2,1258.6,1264.0,1080,4,67650,21600,ALLOY,1,0,0,3,57550,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67650,21600,0,강종누락,2160,1/8/2020,주간,화,안겹침,이상없음,6,0,A,평일,0
2,4,4,670.4,2020-01-08 18:40:00,2020-01-08 19:42:00,3720,691.6,1259.2,1258.6,2640,8,76432,9554,ALLOY,1,0,0,8,76432,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76432,9554,0,누락없음,3660,1/9/2020,주간,수,안겹침,이상없음,4,0,A,평일,0
3,4,5,2646.9,2020-01-09 22:04:00,2020-01-10 06:31:00,30420,608.1,1254.1,1259.2,12000,10,81860,9020,CARBON,0,1,0,0,0,0,10,81860,9020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,81860,9020,0,누락없음,29760,1/10/2020,야간,목,안겹침,이상없음,8,0,C,평일,0
4,4,6,2267.5,2020-01-12 00:38:00,2020-01-12 20:26:00,71280,642.1,1250.6,1254.1,68100,5,73770,19600,ALLOY,1,0,0,4,54170,13730,1,19600,19600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33330,19600,3,40440,13480,0,누락없음,43320,1/13/2020,주간,일,안겹침,이상없음,10,0,AC,주말,0
5,4,7,949.0,2020-01-13 15:18:00,2020-01-13 17:18:00,7200,709.9,1250.4,1250.6,3900,7,109200,15600,ALLOY,1,0,0,7,109200,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,109200,15600,1,누락없음,5580,1/14/2020,주간,월,안겹침,이상없음,5,0,A,평일,0
6,4,8,715.3,2020-01-14 14:45:00,2020-01-14 16:16:00,5460,841.4,1256.5,1250.4,2760,8,101510,14850,ALLOY,1,0,0,8,101510,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12410,12410,6,89100,14850,1,중량누락,4380,1/15/2020,주간,화,안겹침,이상없음,7,0,A,평일,0
7,4,9,480.4,2020-01-15 17:11:00,2020-01-15 18:09:00,3480,765.8,1260.2,1256.5,5040,8,92800,11600,ALLOY,1,0,0,8,92800,11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,92800,11600,0,누락없음,3420,1/16/2020,주간,수,안겹침,이상없음,8,0,A,평일,0
8,4,10,1246.4,2020-01-16 16:17:00,2020-01-16 18:21:00,7440,725.4,1250.2,1260.2,9000,8,61160,10950,CARBON,0,1,0,0,0,0,8,61160,10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61160,10950,1,누락없음,6600,1/17/2020,주간,목,안겹침,이상없음,8,0,C,평일,0
9,4,12,516.1,2020-01-20 16:04:00,2020-01-20 17:16:00,4320,993.9,1247.9,1251.4,3180,3,36420,14150,CARBON,0,1,0,0,0,0,3,36420,14150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36420,14150,2,누락없음,3780,1/21/2020,주간,월,겹침,이상없음,5,1,C,평일,0
