순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량
1,P5,2020-01-02,주간,200105-19180-249,001,"04,05",가열로4호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고  시편부착","12/28 P5주
COGBAR",ALLOY,1,9554,1,103.86
2,P5,2020-01-02,주간,200105-19180-250,001,"04,05",가열로4호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고  시편부착","12/28 P5주
COGBAR",ALLOY,1,9554,1,103.86
3,P5,2020-01-02,주간,200105-19180-251,001,"04,05",가열로4호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고  시편부착","12/28 P5주
COGBAR",ALLOY,1,9554,1,103.86
4,P5,2020-01-02,주간,200105-19180-252,001,"04,05",가열로4호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고  시편부착","12/28 P5주
COGBAR",ALLOY,1,9554,1,103.86
5,P5,2020-01-02,주간,200105-19180-253,001,"04,05",가열로4호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고  시편부착","12/28 P5주
COGBAR",ALLOY,1,9554,1,103.86
6,P5,2020-01-02,주간,200105-19180-254,001,"04,05",가열로4호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고  시편부착","12/28 P5주
COGBAR",ALLOY,1,9554,1,103.86
7,P5,2020-01-02,주간,200105-19180-255,001,"04,05",가열로4호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고  시편부착","12/28 P5주
COGBAR",ALLOY,1,9554,1,103.86
8,P5,2020-01-02,주간,200105-19180-256,001,"04,05",가열로4호기,"1350.00 X 0.00 X 2555.00
","WTG-113
(INGOT)","GE 1.5MW M/SHAFT 금형작업
별도시방서참고  시편부착","12/28 P5주
COGBAR",ALLOY,1,9554,1,103.86
9,P5,2020-01-02,주간,191210-19004-002,001,"04,05",가열로5호기,"2145.00 X 1580.00 X 400.00
",TW 350LF2,"20/20/20 S/N:001-002 정H/R 동시작업
1439*450*510    300T SLAB사용","12/28 P5주
절단완료",CARBON,2,6230,1,140.49
10,P5,2020-01-02,주간,191210-19004-004,001,"04,05",가열로5호기,"2145.00 X 1580.00 X 410.00
",TW 350LF2,"20/20/20 S/N:001-002 정H/R 동시작업
1442*450*520    300T SLAB사용","12/28 P5주
절단완료",CARBON,2,6370,1,143.65
11,P5,2020-01-02,주간,191009-01502-079,"001,002,003,004,005,006","04,05",가열로5호기,"3316.00 X 2980.00 X 399.00
",S355NL,"25/25/25 S/N:001-006
1410*450*580    800 R/B사용","12/28 P5주
절단완료",CARBON,6,6770,6,152.67
12,P5,2020-01-02,주간,191203-15226-003,001,"04,05",가열로5호기,1740.00 X 0.00 X 260.00,TW 350LF2,"40/35 S/N:001
1780 X 295  1차,2차작업","300T
히트확인",CARBON,1,6000,1,135.3
13,P5,2020-01-02,주간,191203-15226-004,001,"04,05",가열로5호기,1740.00 X 0.00 X 260.00,TW 350LF2,"40/35 S/N:001
1780 X 295  1차,2차작업","300T
히트확인",CARBON,1,6000,1,135.3
14,P5,2020-01-02,야간,191127-19581-001,"001,002","01,03",가열로3호기,"910.00 X 569.00 X 910.00
",TWS355,"60/169/60 S/N:001
970 X 400 X 970  단조비 확보.","400T
히트확인",CARBON,2,5010,2,172.66
15,P5,2020-01-02,야간,190807-19240-001,"001,002,003,004,005,006,007,008","01,03",가열로3호기,"4500.00 X 3860.00 X 126.00
",TWS355,"30/30/25 S/N:001-008
1448*450*470","300T
SLAB",CARBON,8,5820,8,200.57
16,P5,2020-01-02,야간,191018-15200-003,001,"01,03",가열로1호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,281.06
17,P5,2020-01-02,야간,191018-15200-004,001,"01,03",가열로1호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,281.06
18,P5,2020-01-02,야간,191018-15200-005,001,"01,03",가열로1호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,281.06
19,P5,2020-01-02,야간,191018-15200-006,001,"01,03",가열로1호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,281.06
20,P8,2020-01-02,주간,191224-19226-001,001,"16,14",가열로16호기,3927.00 X 3537.00 X 140.00,S355NL,"1209*450*440
25/25/27(시)",Φ600 R/B,CARBON,0,3240,1,86.78
21,P8,2020-01-02,주간,191224-19226-001,"002,003,004,005,006,008,007","16,14",가열로16호기,3927.00 X 3537.00 X 140.00,S355NL,"1193*450*435
25/25/20",Φ600 R/B,CARBON,0,3240,7,86.78
