순번,프레스명,작업일자,주/야간,가열로명,소재개수,중량(kg),최대중량(kg),최소홀딩시간,최대홀딩시간,시작온도,가열시작일시,가열종료일시,종료온도,소요시간(분),총가스사용량,단위가스사용량(사용량/중량)
36,프레스(P15000),2020-01-04,야간,가열로13호기,2,51900,25950,6,0,-,2020-01-04 18:43,2020-01-05 06:30,-,707,-,0
37,프레스(P8000),2020-01-04,주간,가열로14호기,18,57568.6,5350,7.5,7.5,-,2020-01-03 19:17,2020-01-04 16:43,-,1286,3206.1,55.7
38,프레스(P8000),2020-01-04,야간,가열로15호기,22,78583.1,5350,7.5,7.5,-,2020-01-04 07:24,2020-01-05 09:00,-,1536,3355.4,42.7
39,프레스(P8000),2020-01-04,주간,가열로16호기,21,64790.4,3957,7.5,7.5,-,2020-01-03 08:57,2020-01-04 11:43,-,1606,3833,59.2
40,프레스(P15000),2020-01-04,주간,가열로17호기,6,72495,27000,12,0,-,2020-01-03 18:54,2020-01-04 11:50,-,1016,4574.7,63.1
41,프레스(P15000),2020-01-04,야간,가열로17호기,4,50535,27000,8,0,-,2020-01-04 11:50,2020-01-04 23:45,-,715,2290.3,45.3
42,프레스(P15000),2020-01-04,야간,가열로18호기,10,169755,19615,12,0,-,2020-01-04 05:11,2020-01-05 05:25,-,1454,7638.3,45
43,프레스(P15000),2020-01-04,주간,가열로19호기,4,80400,25950,6,0,-,2020-01-04 05:18,2020-01-04 15:46,-,628,1975.7,24.6
44,프레스(P15000),2020-01-04,주간,가열로20호기,7,122300,25950,15,0,-,2020-01-03 17:21,2020-01-04 14:47,-,1286,7240.6,59.2
45,프레스(P5000),2020-01-06,주간,가열로2호기,6,89100,14850,12,13,-,2020-01-05 04:50,2020-01-06 13:23,-,1953,6400.2,71.8
46,프레스(P5000),2020-01-06,야간,가열로2호기,7,94100,14850,12,13,-,2020-01-06 13:28,2020-01-06 22:53,-,565,1714.3,18.2
47,프레스(P5000),2020-01-06,주간,가열로3호기,8,99360,13480,12,13,-,2020-01-05 11:27,2020-01-06 18:56,-,1889,6600.4,66.4
48,프레스(P5000),2020-01-06,야간,가열로5호기,7,94360,13480,12,13,-,2020-01-04 21:56,2020-01-07 06:12,-,3376,8234.3,87.3
49,링밀(R/M 9500),2020-01-06,주간,가열로7호기,3,51785,19615,4,10,-,2020-01-05 20:11,2020-01-06 20:41,-,1470,2077.7,40.1
50,프레스(P8000),2020-01-06,주간,가열로8호기,16,49671.6,3423,7.5,7.5,-,2020-01-04 14:15,2020-01-06 11:43,-,2728,4238.6,85.3
51,링밀(R/M 9500),2020-01-06,주간,가열로9호기,15,77410,7900,4,10,-,2020-01-05 19:09,2020-01-06 16:37,-,1288,3272.1,42.3
52,링밀(R/M 9500),2020-01-06,야간,가열로9호기,1,19980,19980,4,10,-,2020-01-06 16:45,2020-01-07 03:09,-,624,1588.7,79.5
53,링밀(R/M 9500),2020-01-06,주간,가열로10호기,3,58845,19615,4,10,-,2020-01-05 00:00,2020-01-07 00:00,-,2880,-,0
54,링밀(R/M 9500),2020-01-06,야간,가열로10호기,16,39310,4330,4,10,-,2020-01-05 00:00,2020-01-07 00:00,-,2880,-,0
55,링밀(R/M 9500),2020-01-06,주간,가열로11호기,15,75415,7845,4,10,-,2020-01-05 00:00,2020-01-07 00:00,-,2880,-,0
56,링밀(R/M 9500),2020-01-06,야간,가열로11호기,22,70960,3660,4,10,-,2020-01-05 00:00,2020-01-07 00:00,-,2880,-,0
57,링밀(R/M 9500),2020-01-06,주간,가열로12호기,4,59135,15560,4,10,-,2020-01-05 19:03,2020-01-06 11:36,-,993,2061.1,34.9
58,링밀(R/M 9500),2020-01-06,야간,가열로12호기,7,35490,5070,4,10,-,2020-01-06 11:41,2020-01-07 03:22,-,941,1939.7,54.7
59,프레스(P15000),2020-01-06,주간,가열로13호기,6,66540,25950,8,0,-,2020-01-05 06:30,2020-01-06 10:43,-,1693,-,0
60,링밀(R/M 9500),2020-01-06,주간,가열로13호기,6,66540,25950,4,10,-,2020-01-06 10:49,2020-01-06 11:45,-,56,373.7,5.6
61,프레스(P15000),2020-01-06,야간,가열로13호기,2,51900,25950,6,0,-,2020-01-06 11:53,2020-01-07 02:50,-,897,4824.9,93
62,프레스(P8000),2020-01-06,야간,가열로14호기,23,64823.2,4775,7.5,7.5,-,2020-01-04 18:45,2020-01-07 06:06,-,3561,5264.9,81.2
63,프레스(P8000),2020-01-06,주간,가열로15호기,18,41958,3833,7.5,7.5,-,2020-01-05 09:00,2020-01-06 19:27,-,2067,7004.9,167
64,프레스(P8000),2020-01-06,야간,가열로16호기,18,59218,4503,7.5,7.5,-,2020-01-05 19:03,2020-01-06 22:19,-,1636,4332.1,73.2
65,프레스(P15000),2020-01-06,주간,가열로17호기,8,154800,26800,12,0,-,2020-01-05 03:30,2020-01-06 18:40,-,2350,10951.3,70.7
66,프레스(P15000),2020-01-06,야간,가열로17호기,5,112200,26800,6,0,-,2020-01-06 18:45,2020-01-07 06:19,-,694,2885.1,25.7
67,프레스(P15000),2020-01-06,야간,가열로18호기,3,111050,44600,20,0,-,2020-01-05 05:25,2020-01-07 01:04,-,2619,10031.9,90.3
