순번,프레스명,작업일자,주/야간,가열로명,소재개수,중량(kg),최대중량(kg),최소홀딩시간,최대홀딩시간,시작온도,가열시작일시,가열종료일시,종료온도,소요시간(분),총가스사용량,단위가스사용량(사용량/중량)
373,프레스(P5000),2020-01-30,주간,가열로2호기,3,40440,13480,12,13,-,2020-01-29 18:30,2020-01-30 14:57,-,1227,4014,99.3
374,프레스(P5000),2020-01-30,야간,가열로3호기,7,103950,14850,12,13,-,2020-01-30 01:28,2020-01-31 01:22,-,1434,6285.7,60.5
375,프레스(P5000),2020-01-30,야간,가열로4호기,8,76432,9554,12,13,-,2020-01-30 06:24,2020-01-31 06:20,-,1436,4233.6,55.4
376,프레스(P5000),2020-01-30,주간,가열로5호기,5,31630,6560,12,13,-,2020-01-29 19:15,2020-01-30 11:06,-,951,3812.2,120.5
377,프레스(P15000),2020-01-30,야간,가열로6호기,6,101280,24000,12,0,-,2020-01-30 04:24,2020-01-31 01:38,-,1274,8152.3,80.5
378,프레스(P15000),2020-01-30,주간,가열로7호기,2,46335,27365,8,0,-,2020-01-29 10:04,2020-01-30 23:55,-,2271,3942,85.1
379,링밀(R/M 9500),2020-01-30,주간,가열로8호기,17,50490,2970,4,10,-,2020-01-29 22:22,2020-01-30 10:41,-,739,1477.5,29.3
380,링밀(R/M 9500),2020-01-30,야간,가열로8호기,20,60000,5190,4,10,-,2020-01-30 10:49,2020-01-30 23:00,-,731,1336.2,22.3
381,링밀(R/M 9500),2020-01-30,주간,가열로10호기,6,98365,19615,4,10,-,2020-01-29 00:00,2020-01-31 00:00,-,2880,-,0
382,링밀(R/M 9500),2020-01-30,야간,가열로10호기,13,63280,6280,4,10,-,2020-01-29 00:00,2020-01-31 00:00,-,2880,-,0
383,링밀(R/M 9500),2020-01-30,주간,가열로11호기,16,80310,6950,4,10,-,2020-01-29 00:00,2020-01-31 00:00,-,2880,-,0
384,링밀(R/M 9500),2020-01-30,야간,가열로11호기,11,34660,4110,4,10,-,2020-01-29 00:00,2020-01-31 00:00,-,2880,-,0
385,프레스(P8000),2020-01-30,야간,가열로12호기,19,58060.4,4710,7.5,7.5,-,2020-01-29 23:57,2020-01-30 23:37,-,1420,3719.6,64.1
386,프레스(P15000),2020-01-30,주간,가열로13호기,2,51900,25950,6,0,-,2020-01-29 22:53,2020-01-30 18:25,-,1172,5231.5,100.8
387,프레스(P15000),2020-01-30,야간,가열로13호기,6,59820,25950,8,0,-,2020-01-30 18:43,2020-01-31 01:41,-,418,2060.6,34.4
388,링밀(R/M 9500),2020-01-30,야간,가열로13호기,6,59820,25950,4,10,-,2020-01-31 01:45,2020-01-31 02:36,-,51,310.9,5.2
389,프레스(P8000),2020-01-30,주간,가열로14호기,22,56256.3,3860,7.5,7.5,-,2020-01-28 07:46,2020-01-30 19:13,-,3567,10357.8,184.1
390,프레스(P8000),2020-01-30,야간,가열로15호기,20,93033,6762,7.5,7.5,-,2020-01-30 06:49,2020-01-31 07:05,-,1456,5225.2,56.2
391,프레스(P8000),2020-01-30,주간,가열로16호기,24,80040.6,4886,7.5,7.5,-,2020-01-29 14:21,2020-01-30 14:48,-,1467,3765.2,47
392,프레스(P15000),2020-01-30,주간,가열로17호기,2,192479,101109,8,0,-,2020-01-29 18:51,2020-01-30 09:52,-,901,3026.5,15.7
393,프레스(P15000),2020-01-30,야간,가열로18호기,4,125360,36500,15,0,-,2020-01-30 05:37,2020-01-31 05:22,-,1425,7178.7,57.3
394,프레스(P15000),2020-01-30,주간,가열로19호기,2,200600,130000,8,0,-,2020-01-29 11:12,2020-01-30 15:13,-,1681,7979.8,39.8
395,프레스(P5000),2020-01-31,주간,가열로1호기,2,16660,14150,12,13,-,2020-01-30 18:15,2020-01-31 15:50,-,1295,2001.3,120.1
396,프레스(P5000),2020-01-31,야간,가열로3호기,8,108600,14850,12,13,-,2020-01-31 01:24,2020-02-01 01:43,-,1459,6466.3,59.5
397,프레스(P5000),2020-01-31,야간,가열로4호기,7,94360,13480,12,13,-,2020-01-31 06:26,2020-02-01 22:54,-,2428,7638,80.9
398,프레스(P5000),2020-01-31,주간,가열로5호기,7,103950,14850,12,13,-,2020-01-30 14:58,2020-01-31 14:10,-,1392,6223.8,59.9
399,프레스(P15000),2020-01-31,주간,가열로6호기,2,36330,24000,6,0,-,2020-01-31 01:38,2020-01-31 16:20,-,882,3561.8,98
400,링밀(R/M 9500),2020-01-31,야간,가열로7호기,18,55000,4650,4,10,-,2020-01-30 08:10,2020-01-31 23:24,-,2354,3050.5,55.5
401,링밀(R/M 9500),2020-01-31,주간,가열로8호기,2,39230,19615,4,10,-,2020-01-30 23:01,2020-01-31 14:18,-,917,1304.6,33.3
402,링밀(R/M 9500),2020-01-31,야간,가열로8호기,6,31820,6120,4,10,-,2020-01-31 21:08,2020-02-01 08:32,-,684,1263,39.7
403,링밀(R/M 9500),2020-01-31,주간,가열로9호기,19,56420,5000,4,10,-,2020-01-30 20:34,2020-01-31 13:45,-,1031,2685.1,47.6
404,링밀(R/M 9500),2020-01-31,야간,가열로9호기,18,65930,5330,4,10,-,2020-01-31 13:48,2020-02-01 05:24,-,936,2275,34.5
405,링밀(R/M 9500),2020-01-31,주간,가열로10호기,7,50720,12860,4,10,-,2020-01-30 00:00,2020-02-01 00:00,-,2880,-,0
406,링밀(R/M 9500),2020-01-31,주간,가열로11호기,15,71100,7200,4,10,-,2020-01-30 00:00,2020-02-01 00:00,-,2880,-,0
407,링밀(R/M 9500),2020-01-31,야간,가열로11호기,7,26810,5330,4,10,-,2020-01-30 00:00,2020-02-01 00:00,-,2880,-,0
408,프레스(P8000),2020-01-31,야간,가열로12호기,22,63697.5,4842,7.5,7.5,-,2020-01-30 23:43,2020-01-31 23:43,-,1440,3784.1,59.4
409,프레스(P8000),2020-01-31,주간,가열로14호기,22,75533.5,4844,7.5,7.5,-,2020-01-30 19:38,2020-01-31 19:10,-,1412,3862.2,51.1
410,프레스(P8000),2020-01-31,야간,가열로15호기,16,69967.4,5607,7.5,7.5,-,2020-01-31 07:19,2020-02-01 06:33,-,1394,4816.2,68.8
411,프레스(P8000),2020-01-31,주간,가열로16호기,21,68264,4376,7.5,7.5,-,2020-01-30 15:12,2020-01-31 13:09,-,1317,3200.3,46.9
412,프레스(P15000),2020-01-31,주간,가열로17호기,5,161600,55600,8,0,-,2020-01-30 13:11,2020-01-31 14:45,-,1534,7260.6,44.9
413,프레스(P15000),2020-01-31,야간,가열로17호기,2,111200,55600,24,0,-,2020-01-31 14:47,2020-02-01 01:57,-,670,2016.6,18.1
414,프레스(P15000),2020-01-31,야간,가열로18호기,4,78180,32000,15,0,-,2020-01-31 05:55,2020-02-01 04:32,-,1357,6642.5,85
415,프레스(P15000),2020-01-31,주간,가열로19호기,2,148970,130000,8,0,-,2020-01-30 15:29,2020-01-31 18:00,-,1591,5092.8,34.2
416,프레스(P5000),2020-02-01,주간,가열로2호기,7,94360,13480,12,13,-,2020-01-31 15:50,2020-02-01 16:03,-,1453,6010.8,63.7
417,프레스(P5000),2020-02-01,야간,가열로3호기,12,116830,20850,12,13,-,2020-02-01 02:15,2020-02-02 04:18,-,1563,7744.8,66.3
418,프레스(P5000),2020-02-01,주간,가열로5호기,8,88800,11100,12,13,-,2020-01-31 14:35,2020-02-01 13:00,-,1345,5249.4,59.1
419,프레스(P15000),2020-02-01,주간,가열로6호기,2,28550,21600,6,0,-,2020-01-31 17:13,2020-02-01 09:09,-,956,2485.9,87.1
420,링밀(R/M 9500),2020-02-01,주간,가열로7호기,2,39230,19615,4,10,-,2020-01-31 08:09,2020-01-31 23:22,-,913,1579.5,40.3
421,링밀(R/M 9500),2020-02-01,주간,가열로8호기,16,33760,2400,4,10,-,2020-02-01 08:33,2020-02-01 20:29,-,716,1055.6,31.3
422,링밀(R/M 9500),2020-02-01,야간,가열로8호기,14,49810,6620,4,10,-,2020-02-01 20:39,2020-02-02 03:00,-,381,431.7,8.7
423,링밀(R/M 9500),2020-02-01,야간,가열로9호기,18,51340,4580,4,10,-,2020-02-01 08:53,2020-02-01 23:47,-,894,2498.1,48.7
424,링밀(R/M 9500),2020-02-01,주간,가열로11호기,19,81050,6120,4,10,-,2020-01-31 00:00,2020-02-02 00:00,-,2880,-,0
425,링밀(R/M 9500),2020-02-01,야간,가열로11호기,10,76815,8345,4,10,-,2020-01-31 00:00,2020-02-02 00:00,-,2880,-,0
426,프레스(P8000),2020-02-01,야간,가열로12호기,20,71236,5675,7.5,7.5,-,2020-01-31 23:57,2020-02-01 23:15,-,1398,3817.9,53.6
427,프레스(P15000),2020-02-01,주간,가열로13호기,4,194900,53600,24,0,-,2020-01-31 04:43,2020-02-01 14:02,-,1999,10509.5,53.9
428,프레스(P8000),2020-02-01,주간,가열로14호기,12,40040,6208,7.5,7.5,-,2020-01-31 19:35,2020-02-01 15:46,-,1211,2573,64.3
429,프레스(P8000),2020-02-01,야간,가열로15호기,18,75429,4024,7.5,7.5,-,2020-02-01 07:11,2020-02-02 05:51,-,1360,4784.3,63.4
430,프레스(P8000),2020-02-01,주간,가열로16호기,20,59635,4307,7.5,7.5,-,2020-01-31 13:45,2020-02-01 13:11,-,1406,3123.4,52.4
431,프레스(P15000),2020-02-01,야간,가열로17호기,4,176899,101109,24,0,-,2020-02-01 02:13,2020-02-02 03:53,-,1540,6507.9,36.8
432,프레스(P15000),2020-02-01,야간,가열로18호기,5,93035,36000,12,0,-,2020-02-01 04:54,2020-02-02 02:05,-,1271,5669.5,60.9
433,프레스(P15000),2020-02-01,주간,가열로19호기,6,108090,29820,14,0,-,2020-01-31 18:53,2020-02-01 12:45,-,1072,5590,51.7
434,프레스(P15000),2020-02-01,야간,가열로19호기,4,55920,19615,8,0,-,2020-02-01 12:48,2020-02-02 05:00,-,972,2728.3,48.8
435,프레스(P5000),2020-02-03,야간,가열로1호기,6,47300,11300,12,13,-,2020-02-02 07:39,2020-02-04 06:05,-,2786,6725.2,142.2
436,프레스(P5000),2020-02-03,주간,가열로2호기,8,76432,9554,12,13,-,2020-02-02 08:00,2020-02-03 11:31,-,1651,6140.9,80.3
437,프레스(P5000),2020-02-03,주간,가열로3호기,12,98420,9970,12,13,-,2020-02-02 08:00,2020-02-03 18:18,-,2058,9610.1,97.6
438,프레스(P5000),2020-02-03,야간,가열로5호기,12,93600,7890,12,13,-,2020-02-02 07:39,2020-02-04 02:32,-,2573,8894.1,95
439,링밀(R/M 9500),2020-02-03,주간,가열로7호기,4,58730,19615,4,10,-,2020-02-01 01:47,2020-02-01 13:12,-,685,1089.6,18.6
440,링밀(R/M 9500),2020-02-03,야간,가열로7호기,4,37030,9970,4,10,-,2020-02-02 08:10,2020-02-02 18:33,-,623,791,21.4
441,링밀(R/M 9500),2020-02-03,주간,가열로8호기,6,52810,9970,4,10,-,2020-02-02 11:43,2020-02-03 10:28,-,1365,2061.4,39
442,링밀(R/M 9500),2020-02-03,야간,가열로8호기,22,72280,5110,4,10,-,2020-02-03 10:35,2020-02-03 22:12,-,697,1099.2,15.2
443,링밀(R/M 9500),2020-02-03,주간,가열로9호기,13,64850,7890,4,10,-,2020-02-02 10:37,2020-02-03 17:27,-,1850,5379.8,83
444,링밀(R/M 9500),2020-02-03,야간,가열로9호기,8,55580,7890,4,10,-,2020-02-03 17:27,2020-02-04 10:19,-,1012,3144,56.6
445,링밀(R/M 9500),2020-02-03,주간,가열로10호기,6,61405,12020,4,10,-,2020-02-02 00:00,2020-02-04 00:00,-,2880,-,0
446,링밀(R/M 9500),2020-02-03,야간,가열로10호기,2,29460,14730,4,10,-,2020-02-02 00:00,2020-02-04 00:00,-,2880,-,0
447,링밀(R/M 9500),2020-02-03,주간,가열로11호기,16,69340,5100,4,10,-,2020-02-02 00:00,2020-02-04 00:00,-,2880,3817.9,55.1
448,링밀(R/M 9500),2020-02-03,야간,가열로11호기,18,71940,4690,4,10,-,2020-02-02 00:00,2020-02-04 00:00,-,2880,-,0
449,프레스(P8000),2020-02-03,주간,가열로12호기,20,65262,3812,7.5,7.5,-,2020-02-02 07:25,2020-02-03 14:13,-,1848,4953.1,75.9
450,프레스(P15000),2020-02-03,주간,가열로13호기,6,215520,44600,20,0,-,2020-02-02 00:31,2020-02-03 10:17,-,2026,10281.3,47.7
451,프레스(P15000),2020-02-03,야간,가열로13호기,7,217600,44600,20,0,-,2020-02-03 10:17,2020-02-03 23:04,-,767,3975.8,18.3
452,프레스(P8000),2020-02-03,야간,가열로14호기,20,60844,2870,7.5,7.5,-,2020-02-02 08:53,2020-02-04 07:06,-,2773,4953.7,81.4
453,프레스(P8000),2020-02-03,주간,가열로15호기,19,77482,6923,7.5,7.5,-,2020-02-02 07:29,2020-02-03 19:24,-,2155,6256.9,80.8
454,프레스(P8000),2020-02-03,야간,가열로16호기,16,71951,5675,7.5,7.5,-,2020-02-02 08:45,2020-02-04 01:00,-,2415,4597.1,63.9
455,프레스(P15000),2020-02-03,주간,가열로17호기,2,160209,101109,12,0,-,2020-02-02 03:53,2020-02-03 18:07,-,2294,6627.3,41.4
456,프레스(P15000),2020-02-03,야간,가열로19호기,7,158295,30500,15,0,-,2020-02-02 17:55,2020-02-04 05:46,-,2151,10025.6,63.3
457,프레스(P15000),2020-02-03,주간,가열로20호기,8,144260,25000,12,0,-,2020-02-01 17:03,2020-02-03 16:31,-,2848,13239.5,91.8
458,프레스(P5000),2020-02-04,야간,가열로1호기,6,44590,8000,12,13,-,2020-02-04 06:17,2020-02-05 06:26,-,1449,3267.3,73.3
459,프레스(P5000),2020-02-04,주간,가열로2호기,6,48660,11300,12,13,-,2020-02-03 16:05,2020-02-04 18:19,-,1574,5048.6,103.8
460,프레스(P5000),2020-02-04,주간,가열로4호기,7,103950,14850,12,13,-,2020-02-03 10:27,2020-02-04 13:02,-,1595,6364.5,61.2
461,프레스(P5000),2020-02-04,야간,가열로5호기,8,111950,14850,12,13,-,2020-02-04 02:55,2020-02-05 01:43,-,1368,6008.1,53.7
462,프레스(P15000),2020-02-04,야간,가열로6호기,8,96345,15550,12,0,-,2020-02-03 21:37,2020-02-05 02:03,-,1706,10925.2,113.4
463,링밀(R/M 9500),2020-02-04,주간,가열로7호기,9,70025,8345,4,10,-,2020-02-03 08:25,2020-02-04 13:36,-,1751,3328.1,47.5
464,링밀(R/M 9500),2020-02-04,야간,가열로7호기,3,43470,16085,4,10,-,2020-02-04 16:00,2020-02-05 02:41,-,641,994.7,22.9
465,링밀(R/M 9500),2020-02-04,주간,가열로8호기,12,58320,6060,4,10,-,2020-02-03 22:20,2020-02-04 08:35,-,615,1025.7,17.6
466,링밀(R/M 9500),2020-02-04,야간,가열로8호기,8,45900,7710,4,10,-,2020-02-04 08:38,2020-02-04 20:05,-,687,905.1,19.7
467,링밀(R/M 9500),2020-02-04,주간,가열로9호기,13,25880,2120,4,10,-,2020-02-04 10:19,2020-02-04 17:12,-,413,1141.4,44.1
468,링밀(R/M 9500),2020-02-04,야간,가열로9호기,11,44340,6570,4,10,-,2020-02-04 17:18,2020-02-04 23:43,-,385,1078.5,24.3
469,링밀(R/M 9500),2020-02-04,주간,가열로10호기,6,47340,7890,4,10,-,2020-02-03 00:00,2020-02-05 00:00,-,2880,-,0
470,링밀(R/M 9500),2020-02-04,야간,가열로10호기,2,32170,16085,4,10,-,2020-02-03 00:00,2020-02-05 00:00,-,2880,-,0
471,링밀(R/M 9500),2020-02-04,주간,가열로11호기,22,71160,4700,4,10,-,2020-02-03 00:00,2020-02-05 00:00,-,2880,-,0
472,링밀(R/M 9500),2020-02-04,야간,가열로11호기,24,87170,5370,4,10,-,2020-02-03 00:00,2020-02-05 00:00,-,2880,-,0
473,프레스(P8000),2020-02-04,주간,가열로12호기,19,70832,5067,7.5,7.5,-,2020-02-03 14:29,2020-02-04 15:12,-,1483,4142.9,58.5
474,프레스(P15000),2020-02-04,주간,가열로13호기,3,98000,36000,15,0,-,2020-02-03 23:04,2020-02-04 18:29,-,1165,4561.5,46.5
475,프레스(P8000),2020-02-04,야간,가열로14호기,26,75503,3427,7.5,7.5,-,2020-02-04 07:15,2020-02-05 07:10,-,1435,3872.8,51.3
476,프레스(P8000),2020-02-04,주간,가열로15호기,19,76424,4783,7.5,7.5,-,2020-02-03 19:41,2020-02-04 19:06,-,1405,4799.4,62.8
477,프레스(P8000),2020-02-04,야간,가열로16호기,16,72410,4775,7.5,7.5,-,2020-02-04 01:23,2020-02-04 23:08,-,1305,3360.1,46.4
478,프레스(P15000),2020-02-04,주간,가열로17호기,2,160209,101109,8,0,-,2020-02-03 18:09,2020-02-04 10:49,-,1000,3051.6,19
479,프레스(P15000),2020-02-04,주간,가열로18호기,6,116240,25950,15,0,-,2020-02-03 18:22,2020-02-04 18:20,-,1438,10331.7,88.9
480,프레스(P15000),2020-02-04,주간,가열로20호기,4,145319,96259,8,0,-,2020-02-03 18:53,2020-02-04 18:07,-,1394,5892.5,40.5
481,프레스(P15000),2020-02-04,야간,가열로20호기,4,89350,30500,8,0,-,2020-02-04 18:07,2020-02-05 05:26,-,679,2595.7,29.1
482,프레스(P5000),2020-02-05,주간,가열로1호기,1,13480,13480,12,13,-,2020-02-05 06:44,2020-02-05 15:23,-,519,750.7,55.7
483,프레스(P5000),2020-02-05,주간,가열로2호기,7,94360,13480,12,13,-,2020-02-04 18:41,2020-02-05 16:54,-,1333,4479,47.5
484,프레스(P5000),2020-02-05,야간,가열로3호기,7,94360,13480,12,13,-,2020-02-05 01:05,2020-02-06 06:15,-,1750,9230.2,97.8
485,프레스(P5000),2020-02-05,주간,가열로4호기,7,97100,14850,12,13,-,2020-02-04 13:08,2020-02-05 14:39,-,1531,4681.6,48.2
486,프레스(P5000),2020-02-05,야간,가열로5호기,7,97100,14850,12,13,-,2020-02-05 02:50,2020-02-06 01:05,-,1335,5614.9,57.8
487,프레스(P15000),2020-02-05,야간,가열로6호기,5,69220,24000,12,0,-,2020-02-05 02:41,2020-02-06 01:03,-,1342,7260.4,104.9
488,링밀(R/M 9500),2020-02-05,주간,가열로7호기,18,49760,3660,4,10,-,2020-02-05 02:43,2020-02-05 17:30,-,887,1052.8,21.2
489,링밀(R/M 9500),2020-02-05,주간,가열로8호기,9,45240,7710,4,10,-,2020-02-04 20:12,2020-02-05 06:34,-,622,1078.2,23.8
490,링밀(R/M 9500),2020-02-05,주간,가열로9호기,4,45830,15560,4,10,-,2020-02-04 23:44,2020-02-05 11:00,-,676,1852.8,40.4
491,링밀(R/M 9500),2020-02-05,야간,가열로9호기,15,75510,5330,4,10,-,2020-02-05 11:03,2020-02-06 06:12,-,1149,3044.1,40.3
492,링밀(R/M 9500),2020-02-05,주간,가열로10호기,3,43575,14525,4,10,-,2020-02-04 00:00,2020-02-06 00:00,-,2880,-,0
493,링밀(R/M 9500),2020-02-05,야간,가열로10호기,1,14730,14730,4,10,-,2020-02-04 00:00,2020-02-06 00:00,-,2880,-,0
494,링밀(R/M 9500),2020-02-05,주간,가열로11호기,10,50700,5070,4,10,-,2020-02-04 00:00,2020-02-06 00:00,-,2880,-,0
495,링밀(R/M 9500),2020-02-05,야간,가열로11호기,17,66900,5130,4,10,-,2020-02-04 00:00,2020-02-06 00:00,-,2880,-,0
496,프레스(P8000),2020-02-05,주간,가열로12호기,21,73342,4837,7.5,7.5,-,2020-02-04 15:25,2020-02-05 14:27,-,1382,3747.1,51.1
497,프레스(P15000),2020-02-05,주간,가열로13호기,2,51900,25950,8,0,-,2020-02-04 23:04,2020-02-05 11:27,-,743,4573.6,88.1
498,프레스(P15000),2020-02-05,야간,가열로13호기,2,51900,25950,6,0,-,2020-02-05 11:33,2020-02-05 15:14,-,221,1336.7,25.8
499,링밀(R/M 9500),2020-02-05,야간,가열로13호기,6,59180,25950,4,10,-,2020-02-05 15:59,2020-02-06 01:46,-,587,3078.5,52
500,프레스(P8000),2020-02-05,야간,가열로14호기,22,69510,5243,7.5,7.5,-,2020-02-05 07:40,2020-02-06 06:35,-,1375,3767.7,54.2
501,프레스(P8000),2020-02-05,주간,가열로15호기,15,73655,4844,7.5,7.5,-,2020-02-04 19:49,2020-02-05 19:33,-,1424,4436.7,60.2
502,프레스(P8000),2020-02-05,야간,가열로16호기,16,77592,4575,7.5,7.5,-,2020-02-04 23:33,2020-02-05 23:15,-,1422,3502.9,45.1
503,프레스(P15000),2020-02-05,주간,가열로17호기,5,105010,31000,12,0,-,2020-02-04 13:21,2020-02-05 18:19,-,1738,6748.8,64.3
504,프레스(P15000),2020-02-05,주간,가열로18호기,3,122700,47100,15,0,-,2020-02-04 18:29,2020-02-05 15:09,-,1240,5578.7,45.5
505,프레스(P15000),2020-02-05,야간,가열로18호기,5,153600,47100,15,0,-,2020-02-05 15:18,2020-02-06 03:02,-,704,2668.4,17.4
506,프레스(P15000),2020-02-05,주간,가열로19호기,4,182239,96259,28,0,-,2020-02-04 11:32,2020-02-05 15:10,-,1658,6733.6,36.9
507,프레스(P15000),2020-02-05,야간,가열로20호기,4,179500,58600,18,0,-,2020-02-05 05:29,2020-02-06 06:23,-,1494,6886.1,38.4
508,프레스(P5000),2020-02-06,야간,가열로1호기,6,56090,9970,12,13,-,2020-02-06 01:30,2020-02-07 05:55,-,1705,4544.7,81
509,프레스(P5000),2020-02-06,주간,가열로2호기,7,99230,18350,12,13,-,2020-02-05 17:23,2020-02-06 16:52,-,1409,4480.7,45.2
510,프레스(P5000),2020-02-06,주간,가열로4호기,8,88800,11100,12,13,-,2020-02-05 14:48,2020-02-06 14:37,-,1429,4265.5,48
511,프레스(P5000),2020-02-06,야간,가열로5호기,7,88880,13480,12,13,-,2020-02-06 01:23,2020-02-07 01:50,-,1467,5741.1,64.6
512,프레스(P15000),2020-02-06,야간,가열로6호기,5,75240,36200,15,0,-,2020-02-06 01:35,2020-02-06 21:42,-,1207,6652.4,88.4
513,프레스(P15000),2020-02-06,주간,가열로7호기,3,48600,16200,5,0,-,2020-02-06 01:30,2020-02-06 16:26,-,896,794.7,16.4
514,링밀(R/M 9500),2020-02-06,주간,가열로8호기,12,37320,9760,4,10,-,2020-02-05 06:41,2020-02-05 19:47,-,786,1228.6,32.9
515,링밀(R/M 9500),2020-02-06,야간,가열로8호기,15,49650,5130,4,10,-,2020-02-05 21:00,2020-02-06 11:50,-,890,1277.6,25.7
516,링밀(R/M 9500),2020-02-06,주간,가열로9호기,11,45890,4350,4,10,-,2020-02-06 06:20,2020-02-06 18:22,-,722,2067.2,45
517,링밀(R/M 9500),2020-02-06,야간,가열로9호기,10,51300,5130,4,10,-,2020-02-06 18:25,2020-02-07 10:34,-,969,2625.6,51.2
518,링밀(R/M 9500),2020-02-06,주간,가열로11호기,15,72900,4860,4,10,-,2020-02-05 00:00,2020-02-07 00:00,-,2880,-,0
519,링밀(R/M 9500),2020-02-06,야간,가열로11호기,21,52960,4570,4,10,-,2020-02-05 00:00,2020-02-07 00:00,-,2880,-,0
520,프레스(P8000),2020-02-06,주간,가열로12호기,21,57945,4837,7.5,7.5,-,2020-02-05 14:42,2020-02-06 14:16,-,1414,3616.2,62.4
521,프레스(P8000),2020-02-06,야간,가열로14호기,27,61411,2165,7.5,7.5,-,2020-02-06 07:07,2020-02-07 07:14,-,1447,3638.7,59.3
522,프레스(P8000),2020-02-06,주간,가열로15호기,21,79104,4837,7.5,7.5,-,2020-02-05 19:53,2020-02-06 18:51,-,1378,4959.9,62.7
523,프레스(P8000),2020-02-06,야간,가열로16호기,19,63740,4096,7.5,7.5,-,2020-02-05 23:25,2020-02-06 23:09,-,1424,3325.6,52.2
524,프레스(P15000),2020-02-06,주간,가열로17호기,3,73610,31000,6,0,-,2020-02-05 18:34,2020-02-06 18:06,-,1412,4142.3,56.3
525,프레스(P15000),2020-02-06,주간,가열로18호기,3,111900,49100,24,0,-,2020-02-06 03:04,2020-02-06 18:02,-,898,3325.2,29.7
526,프레스(P15000),2020-02-06,야간,가열로19호기,6,167920,53600,18,0,-,2020-02-05 22:25,2020-02-07 06:04,-,1899,9627.7,57.3
527,프레스(P15000),2020-02-06,야간,가열로20호기,4,140800,68100,18,0,-,2020-02-06 06:29,2020-02-07 01:10,-,1121,5096.2,36.2
528,프레스(P5000),2020-02-07,주간,가열로2호기,11,89020,9970,12,13,-,2020-02-06 18:47,2020-02-08 07:42,-,2215,7819,87.8
529,프레스(P5000),2020-02-07,야간,가열로3호기,8,88800,11100,12,13,-,2020-02-06 20:00,2020-02-08 02:27,-,1827,8556.3,96.4
530,프레스(P5000),2020-02-07,주간,가열로4호기,8,76432,9554,12,13,-,2020-02-06 16:27,2020-02-07 10:40,-,1093,3370.8,44.1
531,프레스(P5000),2020-02-07,야간,가열로5호기,8,82960,18350,12,13,-,2020-02-07 02:30,2020-02-08 04:58,-,1588,6216.9,74.9
532,프레스(P15000),2020-02-07,야간,가열로6호기,8,78080,9760,12,13,-,2020-02-06 22:45,2020-02-07 21:54,-,1389,7322.6,93.8
533,링밀(R/M 9500),2020-02-07,주간,가열로8호기,13,32570,4360,4,10,-,2020-02-06 13:42,2020-02-07 17:10,-,1648,2484.9,76.3
534,링밀(R/M 9500),2020-02-07,야간,가열로8호기,18,58140,3230,4,10,-,2020-02-07 17:18,2020-02-08 05:31,-,733,1197.4,20.6
535,링밀(R/M 9500),2020-02-07,주간,가열로9호기,14,32490,2340,4,10,-,2020-02-07 10:35,2020-02-07 17:13,-,398,1253,38.6
536,링밀(R/M 9500),2020-02-07,야간,가열로9호기,10,59170,7710,4,10,-,2020-02-07 17:14,2020-02-07 22:49,-,335,808.7,13.7
537,링밀(R/M 9500),2020-02-07,주간,가열로10호기,7,66310,9970,4,10,-,2020-02-06 00:00,2020-02-08 00:00,-,2880,-,0
538,링밀(R/M 9500),2020-02-07,야간,가열로10호기,6,56550,9970,4,10,-,2020-02-06 00:00,2020-02-08 00:00,-,2880,-,0
539,링밀(R/M 9500),2020-02-07,주간,가열로11호기,13,46780,4360,4,10,-,2020-02-06 00:00,2020-02-08 00:00,-,2880,-,0
540,링밀(R/M 9500),2020-02-07,야간,가열로11호기,18,63760,4720,4,10,-,2020-02-06 00:00,2020-02-08 00:00,-,2880,-,0
541,프레스(P8000),2020-02-07,주간,가열로12호기,28,76998,2870,7.5,7.5,-,2020-02-06 14:31,2020-02-07 18:51,-,1700,4450,57.8
542,프레스(P8000),2020-02-07,야간,가열로14호기,21,74571,3350,7.5,7.5,-,2020-02-07 07:49,2020-02-08 06:35,-,1366,3856.9,51.7
543,프레스(P8000),2020-02-07,주간,가열로15호기,13,60687,4404,7.5,7.5,-,2020-02-06 19:10,2020-02-07 10:16,-,906,4255.4,70.1
544,프레스(P8000),2020-02-07,야간,가열로16호기,21,72867,3350,7.5,7.5,-,2020-02-06 23:30,2020-02-07 23:07,-,1417,3555.7,48.8
545,프레스(P15000),2020-02-07,주간,가열로17호기,2,188879,110879,20,0,-,2020-02-06 18:13,2020-02-07 16:10,-,1317,6019.3,31.9
546,프레스(P15000),2020-02-07,야간,가열로17호기,2,188879,110879,24,0,-,2020-02-07 16:13,2020-02-08 08:04,-,951,3137,16.6
547,프레스(P15000),2020-02-07,주간,가열로18호기,5,110600,31000,8,0,-,2020-02-06 18:10,2020-02-07 14:53,-,1243,3740.2,33.8
548,프레스(P15000),2020-02-07,주간,가열로19호기,3,55720,36200,8,0,-,2020-02-07 06:07,2020-02-07 10:13,-,246,873.3,15.7
549,프레스(P15000),2020-02-07,주간,가열로20호기,5,141250,28850,15,0,-,2020-02-07 01:18,2020-02-07 18:11,-,1013,4574.2,32.4
550,프레스(P15000),2020-02-07,야간,가열로20호기,5,141250,28850,6,0,-,2020-02-07 18:11,2020-02-08 02:23,-,492,2304.2,16.3
551,프레스(P5000),2020-02-10,주간,가열로1호기,9,70030,8030,12,13,-,2020-02-08 07:30,2020-02-10 15:10,-,3340,6441.6,92
