,All_MLP_5_5_시작온도,All_KNN_시작온도
0,20.11538384177468,16.674356130555708
1,23.61104543281324,16.8323050663576
2,28.068042567282014,23.649135174596616
3,22.093628189780496,19.17909419019231
4,28.103871316620797,23.647767862564205
5,23.177669062758937,22.205750191528928
6,27.840609001390863,24.540862399005402
7,22.41297299934156,21.953663403218172
8,21.496011618411902,16.043929344547085
9,20.678252451347582,19.185666389800573
average,23.759748648152208,20.391253015236657
