,All_MLP_1_3_시작온도,All_KNN_시작온도
0,22.12375259399414,31.236844951215414
1,22.799747467041016,22.72917845531873
2,20.122211456298828,20.139063458131194
3,23.649017333984375,29.671487607745185
4,26.35818862915039,23.473147481220668
5,24.503053665161133,21.535790040597508
6,31.535240173339844,20.634546682676053
7,18.628055572509766,25.74873495964787
8,22.293928146362305,23.65164040315254
9,25.949359893798828,21.796582812404303
average,23.79625549316406,24.061701685210945
