,[1]_All_MLP_1_3_시작온도,[1]_All_KNN_시작온도,[2]_All_MLP_3_5_시작온도,[2]_All_KNN_시작온도,[3]_All_MLP_3_1_시작온도,[3]_All_KNN_시작온도,[4]_All_MLP_3_3_시작온도,[4]_All_KNN_시작온도,[5]_All_MLP_1_3_시작온도,[5]_All_KNN_시작온도,[6]_All_MLP_5_5_시작온도,[6]_All_KNN_시작온도,[13]_All_MLP_3_1_시작온도,[13]_All_KNN_시작온도,[17]_All_MLP_3_3_시작온도,[17]_All_KNN_시작온도,[18]_All_MLP_5_5_시작온도,[18]_All_KNN_시작온도,[19]_All_MLP_5_5_시작온도,[19]_All_KNN_시작온도,[20]_All_MLP_3_3_시작온도,[20]_All_KNN_시작온도
0,22.12375259399414,31.236844951215414,20.255541038513183,24.360594874430237,16.405197143554688,20.64803052340881,13.613671902247837,14.30560580985422,23.32550621032715,11.612502006210573,20.11538384177468,16.674356130555708,25.78437042236328,30.336266561064985,21.288796106974285,20.237785860927275,23.559381523910833,24.722189388460485,12.326449500189888,15.136118883014843,26.508875905251017,20.380200471366543
1,22.799747467041016,22.72917845531873,17.710816955566408,19.5501696078865,17.76104058159722,15.381834824113774,12.298368290492467,11.864946654990145,23.466554641723633,15.485856877506787,23.61104543281324,16.8323050663576,57.4588623046875,61.82356647017134,25.697033564249676,23.91831363553193,21.457755458598236,20.549010142047567,12.659717347886827,12.513147211713546,24.6959404458805,18.01533327461439
2,20.122211456298828,20.139063458131194,17.513439559936522,23.241529541464672,18.133846282958984,15.473270361592162,13.500484412057059,15.649237105673084,34.87602615356445,16.112382734512078,28.068042567282014,23.649135174596616,50.453529357910156,51.97538846133498,27.117533365885418,28.52404680796325,19.2367139154551,15.941362167892306,14.226461905020255,11.717813451770393,29.826963385757136,31.418792826717006
3,23.649017333984375,29.671487607745185,18.99655818939209,24.40363416387749,20.025249269273544,19.256935521081065,14.838771711077008,13.063598358626813,21.754005432128906,10.89698620405458,22.093628189780496,19.17909419019231,34.32696533203125,31.103865268333443,26.75082778930664,26.23280197705023,23.949403140009665,22.713377529331662,11.22830977263274,11.469283301729003,26.719781603131974,26.5343019953804
4,26.35818862915039,23.473147481220668,20.051885986328124,19.864574268496245,18.491071489122177,22.0177781976323,13.972854273659843,17.576951680613064,26.56019401550293,14.12207818806628,28.103871316620797,23.647767862564205,63.56502914428711,65.74073784382726,24.63067690531413,24.962534281247862,21.05930491856166,22.392990969250828,12.251906359637225,12.27538445412043,33.02671778931909,21.31355619393711
5,24.503053665161133,21.535790040597508,18.54851722717285,21.61347866126925,18.85910489824083,15.01949615888956,16.64484438214983,18.342987522041675,23.96294403076172,12.680158595151347,23.177669062758937,22.205750191528928,68.18864440917969,80.60445626895795,23.865924835205078,22.309591822180057,21.54501658069844,19.632845058692723,13.012211093196163,15.320117047687578,25.500119267677775,25.656942713185714
6,31.535240173339844,20.634546682676053,22.42920837402344,30.42663719696817,18.068083657158745,17.934252461267928,12.780010386875697,14.750655898181028,24.680234909057617,11.532338693031845,27.840609001390863,24.540862399005402,25.9256649017334,24.045858012891305,29.09931818644206,30.39660202555428,21.258002144949778,21.996572603881997,14.052796434473109,15.767199634228229,22.873617950750855,23.219214200173337
7,18.628055572509766,25.74873495964787,14.941498374938964,19.203695373286365,17.250599543253582,19.20110809583995,14.136235346112933,14.89038668325326,20.225425720214844,13.923538989481626,22.41297299934156,21.953663403218172,51.44404602050781,49.530440667914114,29.36193084716797,32.15947765576706,17.940275425813635,16.584614751082327,16.587268122920282,14.0460239460702,25.169407669378785,24.57584083189789
8,22.293928146362305,23.65164040315254,19.24573669433594,25.752776797336736,17.79076385498047,19.021108096285317,13.966154452732631,14.505692662634237,25.949371337890625,13.866602249135704,21.496011618411902,16.043929344547085,33.056949615478516,29.085785941104124,21.33984438578288,21.095954882845515,23.859795044879522,23.700595653415863,11.77122543476246,10.918771521470767,22.618438603926677,21.620599896022714
9,25.949359893798828,21.796582812404303,21.143784713745116,21.686955766782106,16.934488508436417,19.58936975307068,14.581027058192662,15.178239933806998,24.501649856567383,19.515214439702362,20.678252451347582,19.185666389800573,34.219276428222656,42.091805809056325,28.801998774210613,27.818570171222333,24.253898932009328,26.177949374868536,13.8405234725387,11.490690175049803,30.693498222195373,25.097054218977732
average,23.79625549316406,24.061701685210945,19.08369871139526,23.01040462517978,17.971944522857665,18.354318399318156,14.033242221559798,15.012830230967452,24.930191230773925,13.97476589768532,23.759748648152208,20.391253015236657,44.44233379364014,46.63381713046558,25.795388476053876,25.765567912028978,21.81195470848862,21.44115076389243,13.195686944325763,13.065454962685479,26.76333608432692,23.783183662227287
