,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부
21,1812.4,23820,23760,622.3,0,0,0,9,80820,8980,0,0,0,0,0,0,0,0,0,0,0,0,9,80820,8980,0,0,0,0,0,0,9,80820,8980,429120,0,누락없음,1,2019-07-10,야간,2019-07-10 7:09,수,안겹침,0,9,0,C,평일
22,1765.9,9900,9840,670.1,0,0,0,9,71550,7950,0,0,0,0,0,0,0,0,0,0,0,0,12,83196,7950,0,0,0,0,0,0,12,83196,7950,3480,0,강종누락,4,2019-07-10,주간,2019-07-09 19:25,화,안겹침,0,9,0,C,평일
23,816.3,4800,4800,786.8,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,0,0,0,6,81144,13524,17760,0,누락없음,3,2019-07-10,주간,2019-07-09 17:56,화,안겹침,0,12,0,A,평일
24,2101.0,23760,19800,606.9,8,78696,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78696,9837,0,0,0,0,0,0,8,78696,9837,13920,1,누락없음,5,2019-07-11,야간,2019-07-11 3:58,목,겹침,0,8,2,A,평일
25,1302.8,7260,7200,780.3,0,0,0,9,73610,8980,0,0,0,0,0,0,0,0,0,0,0,0,9,73610,8980,0,0,0,0,0,0,9,73610,8980,2700,0,누락없음,4,2019-07-11,주간,2019-07-10 19:47,수,안겹침,0,12,0,C,평일
26,104.6,1740,1740,1166.3,6,96600,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96600,16100,0,0,0,0,0,0,6,96600,16100,1500,0,누락없음,3,2019-07-11,주간,2019-07-10 15:34,수,안겹침,0,6,0,A,평일
27,3344.1,23940,23760,383.2,0,0,0,8,76020,12330,0,0,0,0,0,0,0,0,0,0,0,0,10,96020,12330,0,0,0,0,0,0,10,96020,12330,67440,0,강종누락,2,2019-07-11,야간,2019-07-10 23:16,수,안겹침,0,9,0,C,평일
28,930.9,6120,6000,845.7,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,0,0,0,6,81144,13524,3780,0,누락없음,4,2019-07-12,주간,2019-07-11 19:58,목,안겹침,0,9,0,A,평일
29,1589.4,9780,9720,672.9,0,0,0,5,51720,24380,0,0,0,0,0,0,0,0,0,0,0,0,5,51720,24380,0,0,0,0,0,0,5,51720,24380,9480,0,누락없음,3,2019-07-12,주간,2019-07-11 16:15,목,안겹침,0,7,0,C,평일
30,870.5,5760,5700,767.2,0,0,0,6,42480,7080,0,0,0,0,0,0,0,0,0,0,0,0,8,62480,10000,0,0,0,0,0,0,8,62480,10000,1080,0,강종누락,2,2019-07-12,야간,2019-07-12 7:11,금,겹침,0,10,2,C,평일
