,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부
0,1428.3,9480,8700,625.4,0,0,0,2,34200,17900,3,34200,12200,0,0,0,0,0,0,0,0,0,5,68400,17900,0,0,0,0,0,0,5,68400,17900,1260,1,누락없음,6,2019-09-25,야간,2019-09-25 4:48,수,안겹침,0,0,0,CS,평일
1,440.5,2460,2160,659.7,0,0,0,2,55000,27500,0,0,0,0,0,0,1,110879,110879,0,0,0,3,165879,110879,1,110879,110879,0,0,0,3,165879,110879,1020,1,누락없음,18,2019-09-25,주간,2019-09-24 17:01,화,안겹침,0,5,0,C,평일
2,601,3240,2880,855.6,7,102480,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,102480,21600,0,0,0,7,102480,21600,0,0,0,1140,1,누락없음,19,2019-09-25,주간,2019-09-24 18:55,화,안겹침,0,8,0,A,평일
3,481,3300,2820,1016.7,4,76550,42900,2,81700,40850,0,0,0,0,0,0,0,0,0,0,0,0,6,158250,42900,0,0,0,4,76550,42900,2,81700,40850,420,1,중량누락,20,2019-09-25,주간,2019-09-25 5:18,수,안겹침,1,7,0,AC,평일
4,246,1380,1260,540.5,0,0,0,2,55000,27500,2,25054,12527,2,80050,42550,0,0,0,0,0,0,6,160104,42550,2,80050,42550,2,80050,42550,4,80054,27500,900,0,누락없음,17,2019-09-25,야간,2019-09-25 2:41,수,안겹침,0,1,0,ACS,평일
5,971.5,4440,4320,847.6,1,17000,17000,3,78850,27500,0,0,0,0,0,0,0,0,0,0,0,0,4,95850,27500,0,0,0,1,17000,17000,3,78850,27500,1320,0,누락없음,19,2019-09-26,주간,2019-09-25 18:38,수,겹침,0,7,1,AC,평일
6,2940.7,30540,30120,525.7,6,80880,13480,0,0,0,2,20700,10350,0,0,0,0,0,0,0,0,0,8,101580,13480,0,0,0,6,80880,13480,2,20700,10350,5640,0,누락없음,6,2019-09-26,야간,2019-09-26 7:02,목,안겹침,0,5,0,AS,평일
7,447.8,2340,2280,988.7,0,0,0,2,27300,13650,0,0,0,0,0,0,2,140729,110879,0,0,0,4,168029,110879,2,140729,110879,0,0,0,4,168029,110879,1500,0,누락없음,18,2019-09-26,주간,2019-09-25 16:29,수,겹침,0,3,1,C,평일
8,113.6,1320,1200,1072,0,0,0,0,0,0,0,0,0,0,0,0,1,110879,110879,0,0,0,1,110879,110879,1,110879,110879,0,0,0,1,110879,110879,300,0,누락없음,18,2019-09-26,야간,2019-09-26 13:03,목,겹침,0,4,1,C,평일
9,185,1020,960,1051.9,0,0,0,2,55000,27500,0,0,0,0,0,0,2,99200,49600,0,0,0,4,154200,49600,2,99200,49600,0,0,0,4,154200,49600,300,0,누락없음,19,2019-09-26,야간,2019-09-26 14:27,목,겹침,0,4,2,C,평일
10,42.6,180,120,1043.5,2,76550,42900,0,0,0,0,0,0,0,0,0,1,40850,40850,0,0,0,3,117400,42900,1,40850,40850,2,76550,42900,1,40850,40850,600,0,누락없음,20,2019-09-26,주간,2019-09-25 18:08,수,안겹침,1,6,0,AC,평일
11,115.4,840,780,1104.2,0,0,0,0,0,0,2,20700,10350,0,0,0,2,99200,49600,0,0,0,4,119900,49600,2,99200,49600,0,0,0,4,119900,49600,360,0,누락없음,19,2019-09-27,주간,2019-09-27 4:10,금,안겹침,0,4,0,CS,평일
12,396.1,2460,2400,541.4,0,0,0,0,0,0,0,0,0,0,0,0,4,150850,56100,0,0,0,4,150850,56100,4,150850,56100,0,0,0,4,150850,56100,7920,0,누락없음,17,2019-09-27,주간,2019-09-26 4:41,목,안겹침,0,6,0,C,평일
13,2612.1,14220,13980,615,1,17000,17000,5,67130,19300,0,0,0,0,0,0,0,0,0,0,0,0,6,84130,19300,0,0,0,1,17000,17000,5,67130,19300,7740,0,누락없음,20,2019-09-27,주간,2019-09-26 18:59,목,안겹침,0,3,0,AC,평일
14,515.5,3660,3600,937.8,0,0,0,2,34200,17900,0,0,0,0,0,0,0,0,0,0,0,0,2,34200,17900,0,0,0,0,0,0,2,34200,17900,780,0,누락없음,20,2019-09-27,야간,2019-09-27 18:45,금,안겹침,0,6,0,C,평일
15,5883.5,103080,83280,237.8,0,0,0,4,151150,48000,0,0,0,0,0,0,0,0,0,0,0,0,4,151150,48000,0,0,0,0,0,0,4,151150,48000,66780,0,누락없음,17,2019-09-30,주간,2019-09-28 11:01,토,안겹침,0,4,0,C,주말
16,123.4,780,720,824.8,0,0,0,2,63600,32500,1,51600,51600,0,0,0,0,0,0,0,0,0,3,115200,51600,0,0,0,0,0,0,3,115200,51600,480,0,누락없음,17,2019-09-30,야간,2019-09-30 16:46,월,겹침,0,4,1,CS,평일
17,695.6,3600,3540,643.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173703,173703,0,0,0,1,173703,173703,0,0,0,18660,0,강종누락,18,2019-09-30,주간,2019-09-27 1:26,금,안겹침,0,1,0,,평일
