,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,28.992422103881836,32.63319405749569,27.87235450744629,32.06569747747752
1,70.25996398925781,15.427003462388452,46.95478820800781,16.671100180246547
2,42.72682571411133,19.579860085134694,47.901611328125,21.15611696892592
3,27.537450790405273,17.73779999378452,22.148258209228516,17.685041633535693
4,142.33828735351562,34.25186988109789,39.70731735229492,31.460996204570417
5,32.212242126464844,29.97946124517935,40.96271514892578,31.26971839313859
6,43.66997146606445,35.01947060930797,59.44041061401367,34.96970949628098
7,43.17477035522461,24.106487932475883,27.411142349243164,24.093285017623902
8,27.607694625854492,20.43091792981576,33.17251968383789,22.146830400467476
9,26.39763641357422,18.973866911456362,15.188957214355469,18.833019524020354
average,48.49172649383545,24.813993210813656,36.07600746154785,25.03515152962874
