,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_DTREE_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_DTREE_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간포함_DTREE_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_DTREE_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_DTREE_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외),쉰시간제외_DTREE_5_5_시간(0제외)
0,51.821678161621094,32.11424491377523,53.01532922830786,53.116432189941406,38.37715583212771,67.4415715807629,82.33233642578125,50.82590706249568,76.01032907838986,46.068382263183594,28.71469243124621,55.23660009819093,56.047786712646484,42.96468511515555,61.19213008851943,83.83326721191406,50.46135597720899,81.03386959064687
1,59.293312072753906,60.109483672288434,109.82714164270784,66.63372802734375,89.03604749613694,172.34012058215833,88.54620361328125,70.7661397667082,171.66279452542392,67.43867492675781,71.96696985357804,110.5055400483379,102.41346740722656,114.97905001550555,152.73736754087835,90.78255462646484,78.19715294532676,157.2460093896887
2,79.95845794677734,86.67078260092177,81.25472277865802,73.21843719482422,99.06070048303832,151.2057971686996,79.06394958496094,173.20194865925075,148.8938941947738,87.74081420898438,90.6592531033677,101.95476008984483,102.83739471435547,112.90731324421705,169.67369044537526,98.42344665527344,172.20264806307983,175.52098106523061
3,44.18561935424805,41.56762740573937,89.80239529213085,60.38208770751953,31.928892935489216,86.6661905305103,83.27960205078125,57.467136298348635,101.37331649465892,61.919593811035156,32.86346338328513,66.0421833403153,68.18463134765625,68.36270780914451,123.17310180749426,86.13088989257812,67.28823374642545,102.08664113531172
4,60.11353302001953,58.93971721061675,68.9775661978778,62.760345458984375,66.7289050217628,101.1617495076146,69.79864501953125,62.45168723163158,173.4621877954412,75.50022888183594,60.64446430213335,82.26506216811967,54.354530334472656,108.40556825010705,123.05172636812362,88.85623168945312,61.614573710834385,88.2068062637644
5,59.51730728149414,88.94065494195348,103.7054681180386,97.88653564453125,112.09760896630132,155.50354148801722,55.1867790222168,138.22900221654697,191.04849610627204,70.040771484375,125.14951350474497,142.65163421875454,116.66364288330078,201.52878773371458,212.22541140044459,63.65265655517578,167.52196486455517,226.5270581869998
6,44.071800231933594,38.862932379363016,92.34802755463049,54.464595794677734,59.026212386873645,164.3281955792662,285.2790832519531,346.419456525206,613.7033353778853,59.145469665527344,56.59197408125694,88.42911924372984,65.6311264038086,97.72279783243276,180.30576225029955,288.39300537109375,370.3058334263457,301.35333367687423
7,41.72190475463867,64.32868202023963,143.23898944520903,60.447837829589844,41.378647338591676,132.94130533718015,76.10198211669922,88.39174185522504,94.01333611215341,63.483978271484375,71.429536675372,75.49510872709014,52.46454620361328,82.53416481081453,134.84303606716162,78.34117889404297,83.51362185602733,117.37645941385595
8,67.96771240234375,66.88717684103516,100.49805921286338,66.25415802001953,89.06489351011047,127.43925568596266,74.8905029296875,126.78623330263139,198.71072718229155,75.78715515136719,84.19277152451382,83.08285431566792,69.77998352050781,127.32286777770699,165.69569586793205,82.77476501464844,130.60480529672222,201.90881540540127
9,45.349430084228516,45.0148144885467,96.45624737579193,46.14471435546875,39.70075238084242,106.22274579533102,265.3438415527344,371.1792705388686,539.1150961286932,49.48385238647461,41.60925024461834,85.7903584542948,47.571590423583984,55.04894635759886,109.51520708994195,275.2613220214844,351.57646511886355,539.0139543453615
average,55.40007553100586,58.34361164744795,93.91239468462159,64.13088722229004,66.63998163512746,126.52504732555033,115.9822925567627,148.5718523456913,230.7993512995983,65.66089210510253,66.38218891041166,89.14532207043457,73.5948699951172,101.17768889463974,143.24131289261706,123.64493179321289,153.32866550053893,199.02739284731354
