,쉰시간포함_MLP_5_5_에너지,쉰시간제외_MLP_5_5_에너지
0,258075.796875,282784.84375
1,3609786.0,328136.84375
2,2189879.75,286546.8125
3,72265.5390625,127169.09375
4,2638244.75,119512.484375
5,968506.0625,34357.421875
6,62536.71484375,136463.78125
7,5877106.0,120114.4296875
8,97037.3828125,57682.54296875
9,258048.71875,116308.3203125
average,1603148.671484375,160907.657421875
