,forward,f_All_MLP_5_5_에너지,backward,b_All_MLP_5_5_에너지
0,"[('장입소재개수',), ('시간(총)',)]",14.491565704345703,"[('장입최대중량',), ('장입소재개수',), ('시작온도',), ('종료온도',), ('시간(총)',)]",21.619945526123047
1,"[('시간(총)',)]",9.504948616027832,"[('장입소재개수',), ('시간(총)',)]",10.08086109161377
2,"[('시작온도',), ('시간(총)',)]",14.749408721923828,"[('장입최대중량',), ('시간(총)',)]",13.66055679321289
3,"[('시간(총)',)]",13.717061996459961,"[('시간(총)',)]",13.294074058532715
4,"[('장입최대중량',), ('시간(총)',)]",11.013428688049316,"[('시간(총)',)]",11.238777160644531
average,,12.695282745361329,,13.97884292602539
