,종료온도_시간(총)_MLP_5_5_에너지,종료온도_시간(총)_MLP_3_3_에너지,종료온도_시간(총)_KNN_에너지
0,46.551727294921875,22.725502014160156,38.077574609039324
1,19.753965377807617,21.976573944091797,25.055316203726353
2,35.085548400878906,29.55512809753418,44.578798986447886
3,39.674095153808594,39.656471252441406,51.368849054980714
4,70.20792388916016,81.43389892578125,32.82902983503616
5,37.29745101928711,33.224517822265625,31.774832729954188
6,26.596935272216797,45.71427917480469,31.71040828261566
7,33.001216888427734,22.040756225585938,38.41905238500772
8,69.84196472167969,67.7622299194336,61.630158003942846
9,24.675310134887695,33.872283935546875,69.34970576298902
average,40.26861381530762,39.79616413116455,42.47937258537398
