,시간(총)_MLP_5_5_에너지,시간(총)_MLP_3_3_에너지,시간(총)_KNN_에너지
0,16.512144088745117,17.17363166809082,24.83938250111208
1,16.399166107177734,18.710458755493164,26.06782357606804
2,15.460161209106445,16.014118194580078,28.403231923678185
3,36.575782775878906,32.23614501953125,37.59572425208057
4,20.634628295898438,21.238746643066406,23.02703366390454
5,18.032102584838867,16.98728370666504,37.57811393041903
6,17.504295349121094,19.31498908996582,20.379483098354463
7,22.793935775756836,22.019878387451172,25.508611096018846
8,22.046541213989258,19.485523223876953,32.845280203494816
9,12.435522079467773,12.976825714111328,26.684595134340956
average,19.839427947998047,19.615760040283202,28.292927937947155
