,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,15.376603013378078,39.396432222689484
1,16.00280829068631,34.21078039024537
2,16.231957845095188,35.47345038411127
3,18.805759257515945,37.23839097701434
4,16.225735324924276,36.53955110004979
5,16.880688257810085,36.67342793389414
6,14.244580522095417,32.41973274573743
7,16.76095795496709,39.937004710470106
8,16.967921122319282,37.45765737122389
9,16.87887722489524,41.111337963635656
average,16.43758888136869,37.04577657990715
