,forward,f_All_MLP_5_5_에너지,backward,b_All_MLP_5_5_에너지
0,"[('시간(총)',)]",17.05840301513672,"[('시작온도',), ('시간(총)',)]",18.321434020996094
1,"[('종료온도',), ('시간(총)',)]",12.244006156921387,"[('장입소재개수',), ('시간(총)',)]",10.526561737060547
2,"[('시간(총)',)]",8.483085632324219,"[('장입최대중량',), ('시작온도',), ('시간(총)',)]",16.469873428344727
3,"[('장입소재개수',), ('시간(총)',)]",18.315635681152344,"[('종료온도',), ('시간(총)',)]",21.210887908935547
4,"[('종료온도',), ('시간(총)',)]",13.198709487915039,"[('시간(총)',)]",14.044666290283203
average,,13.859967994689942,,16.114684677124025
