,forward,f_All_MLP_5_5_에너지,backward,b_All_MLP_5_5_에너지
0,"[('장입중량총합',), ('장입소재개수',), ('시간(총)',)]",22.606416702270508,"[('시간(총)',)]",14.412591934204102
1,"[('장입중량총합',), ('시간(총)',)]",19.3630428314209,"[('장입중량총합',), ('시간(총)',)]",20.47725486755371
2,"[('시간(총)',)]",17.520870208740234,"[('장입중량총합',), ('시작온도',), ('종료온도',), ('시간(총)',)]",37.285587310791016
3,"[('시간(총)',)]",16.631357192993164,"[('장입중량총합',), ('시간(총)',)]",20.96531867980957
4,"[('장입중량총합',), ('시간(총)',)]",19.064306259155273,"[('장입중량총합',), ('시간(총)',)]",22.1320743560791
average,,19.037198638916017,,23.0545654296875
