,시간(총)_MLP_5_5_에너지,시간(총)_MLP_3_5_에너지,시간(총)_KNN_에너지
0,25.458240509033203,25.050622940063477,33.832134412525605
1,22.927677154541016,19.751934051513672,25.285003566350795
2,31.671588897705078,27.576190948486328,36.224858064555605
3,22.673656463623047,22.126407623291016,36.943038983118974
4,20.561710357666016,21.99355697631836,24.43753485258495
5,28.622392654418945,28.293367385864258,32.10049449158372
6,26.692543029785156,25.432992935180664,32.77904039515723
7,26.244768142700195,26.389480590820312,26.09497517461325
8,26.749013900756836,28.20781135559082,32.251741620671865
9,28.255250930786133,29.458534240722656,35.17746190572301
average,25.985684204101563,25.428089904785157,31.5126283466885
