,장입최대중량_시간(총)_MLP_5_5_에너지,장입최대중량_시간(총)_MLP_4_4_에너지,장입최대중량_시간(총)_KNN_에너지
0,24.728986740112305,20.295318603515625,58.51006389251706
1,16.63034439086914,15.951530456542969,24.97519277660367
2,15.04794979095459,15.120505332946777,33.57364551922386
3,15.600878715515137,14.859951972961426,46.61952898385968
4,11.86823558807373,14.213637351989746,29.910892350444882
5,17.20594024658203,16.048431396484375,39.62658703278112
6,18.030824661254883,18.24595069885254,34.32218481646283
7,15.493611335754395,15.546799659729004,21.322583392255563
8,9.966819763183594,12.021430969238281,53.28801000690802
9,15.589705467224121,17.533275604248047,23.215808063235787
average,16.01632966995239,15.983683204650879,36.53644968342925
