,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,44.925445556640625,40.330265045166016,79.73506164550781,38.08434968027704
1,31.36663818359375,28.459190368652344,23.079130172729492,27.219633060617465
2,17.499727249145508,19.73770523071289,82.70388793945312,33.5433990203579
3,34.21013641357422,36.33251190185547,35.86801528930664,35.39361311558451
4,21.15428924560547,25.132919311523438,20.19729995727539,22.0923921019469
5,48.5545539855957,51.886962890625,51.16813278198242,51.431063247680775
6,67.75890350341797,45.98280715942383,53.47504425048828,64.25152663783395
7,34.29520034790039,37.8675651550293,26.906312942504883,31.228508897198687
8,67.03294372558594,73.44386291503906,64.49239349365234,72.3274582273786
9,33.75971603393555,31.565900802612305,35.65494155883789,35.901840797420206
average,40.05575542449951,39.07396907806397,47.32802200317383,41.147378478629605
