,시간(총)_only_MLP_15_15_에너지,시간(총)_only_MLP_20_20_에너지,시간(총)_only_MLP_25_25_에너지,시간(총)_only_KNN_에너지
0,18.99338722229004,20.11249542236328,22.02735137939453,27.51457016543154
1,18.200040817260742,19.40846061706543,19.067991256713867,24.534190524586133
2,22.72228240966797,24.706453323364258,24.4903621673584,27.728760644169437
3,15.992462158203125,16.860881805419922,40.41319274902344,23.070395173416927
4,18.640169143676758,19.981521606445312,18.130916595458984,16.079137985850593
5,22.69437026977539,21.361656188964844,21.347209930419922,21.64376152113792
6,20.4200439453125,20.41823387145996,19.285539627075195,25.29721327569784
7,21.336801528930664,22.93463134765625,68.25346374511719,32.84119643028597
8,21.681217193603516,29.241411209106445,28.291494369506836,26.529181990330823
9,27.62784767150879,27.162166595458984,23.50649642944336,25.963529136336106
average,20.83086223602295,22.218791198730468,28.48140182495117,25.120193684724324
